"lon","lat","is_broken","state","city","street","last_checked","date"
-131.672389,55.34867,FALSE,"AK","Ketchikan","2417 Tongass Ave",2022-08-11 20:54:06,2022-08-12
-134.576119,58.364486,FALSE,"AK","Juneau","2285 Trout St",2022-08-11 20:54:06,2022-08-12
-135.349288,57.060111,FALSE,"AK","Sitka","913 Halibut Point Rd",2022-08-11 20:54:06,2022-08-12
-147.350929,64.7576,FALSE,"AK","North Pole","352 N Santa Claus Ln",2022-08-11 20:54:06,2022-08-12
-147.696844,64.859406,FALSE,"AK","Fairbanks","449 Harold Bentley Ave",2022-08-11 20:54:06,2022-08-12
-147.759486,64.837255,FALSE,"AK","Fairbanks","1930 Airport Way",2022-08-11 20:54:06,2022-08-12
-147.820013,64.848734,FALSE,"AK","Fairbanks","3905 Geist Rd",2022-08-11 20:54:06,2022-08-12
-149.12364,61.598982,FALSE,"AK","Palmer","600 Daron Dr",2022-08-11 20:54:06,2022-08-12
-149.365273,61.568692,TRUE,"AK","Wasilla","1350 S Seward Meridian",2022-08-11 20:54:06,2022-08-12
-149.430913,61.581584,FALSE,"AK","Wasilla","801 E Parks Hwy",2022-08-11 20:54:06,2022-08-12
-149.571341,61.327018,FALSE,"AK","Eagle River","11808 Old Glenn Hwy",2022-08-11 20:54:06,2022-08-12
-149.732514,61.221444,FALSE,"AK","Anchorage","255 Muldoon Rd",2022-08-11 20:54:06,2022-08-12
-149.742159,61.229535,FALSE,"AK","Anchorage","1166 North Muldoon Road",2022-08-11 20:54:06,2022-08-12
-149.732712,61.192947,FALSE,"AK","Anchorage","3035 Muldoon Rd",2022-08-11 20:54:06,2022-08-12
-149.775045,61.209323,FALSE,"AK","Anchorage","5716 Debarr Rd",2022-08-11 20:54:06,2022-08-12
-149.823563,61.219374,FALSE,"AK","Anchorage","3006 Mountain View Dr",2022-08-11 20:54:06,2022-08-12
-149.832403,61.18132,FALSE,"AK","Anchorage","2601 Tudor Rd",2022-08-11 20:54:06,2022-08-12
-149.835083,61.138219,FALSE,"AK","Anchorage","9100 Lake Otis Pky",2022-08-11 20:54:06,2022-08-12
-149.870531,61.188539,FALSE,"AK","Anchorage","701 E 36th Ave",2022-08-11 20:54:06,2022-08-12
-149.879576,61.192297,TRUE,"AK","Anchorage","3101 A St",2022-08-11 20:54:06,2022-08-12
-149.863216,61.139912,FALSE,"AK","Anchorage","8915 Old Seward Hwy",2022-08-11 20:54:06,2022-08-12
-149.870107,61.14016,TRUE,"AK","Anchorage","8900 Old Seward Hwy",2022-08-11 20:54:06,2022-08-12
-149.857891,61.108265,FALSE,"AK","Anchorage","1320 Huffman Blvd",2022-08-11 20:54:06,2022-08-12
-149.898632,61.194617,FALSE,"AK","Anchorage","800 W Northern Lights",2022-08-11 20:54:06,2022-08-12
-149.937022,61.181581,FALSE,"AK","Anchorage","4350 Spenard Rd",2022-08-11 20:54:06,2022-08-12
-149.950886,61.137134,FALSE,"AK","Anchorage","3828 Dimond Blvd",2022-08-11 20:54:06,2022-08-12
-149.982613,61.174275,FALSE,"AK","Anchorage","5000 W International Airport Rd",2022-08-11 20:54:06,2022-08-12
-151.070798,60.483175,FALSE,"AK","Soldotna","44420 Sterling Hwy",2022-08-11 20:54:06,2022-08-12
-151.235538,60.559686,FALSE,"AK","Kenai","10447 Spur Hwy",2022-08-11 20:54:06,2022-08-12
-151.522907,59.642583,FALSE,"AK","Homer","3656 Ben Walters Ln",2022-08-11 20:54:06,2022-08-12
-152.406555,57.790794,FALSE,"AK","Kodiak","209 Thorsheim Ave",2022-08-11 20:54:06,2022-08-12
