"lon","lat","is_broken","state","city","street","last_checked","date"
-114.610064,34.839392,FALSE,"CA","Needles","1201 3rd St",2022-08-11 20:47:06,2022-08-12
-114.605914,33.608684,FALSE,"CA","Blythe","191 S Lovekin Blvd",2022-08-11 20:48:06,2022-08-12
-116.053978,34.13662,FALSE,"CA","Twentynine Palms","6455 Adobe Rd",2022-08-11 20:48:06,2022-08-12
-115.542259,32.978937,FALSE,"CA","Brawley","105 W Main St",2022-08-11 20:48:06,2022-08-12
-115.552891,32.776282,FALSE,"CA","El Centro","1990 S 4th St",2022-08-11 20:48:06,2022-08-12
-115.57737,32.813492,FALSE,"CA","El Centro","2150 N Waterman",2022-08-11 20:48:06,2022-08-12
-115.498351,32.672724,FALSE,"CA","Calexico","720 Imperial Ave",2022-08-11 20:48:06,2022-08-12
-115.569613,32.795786,FALSE,"CA","El Centro","345 N Imperial Ave",2022-08-11 20:48:06,2022-08-12
-116.405807,34.126534,FALSE,"CA","Yucca Valley","57626 29 Palms Hwy",2022-08-11 20:48:06,2022-08-12
-116.180943,33.683868,FALSE,"CA","Coachella","50090 Harrison St",2022-08-11 20:48:06,2022-08-12
-116.216112,33.740362,FALSE,"CA","Indio","42550 Jackson Street",2022-08-11 20:48:06,2022-08-12
-116.229195,33.740234,FALSE,"CA","Indio","82491 Avenue 42",2022-08-11 20:48:06,2022-08-12
-116.214179,33.700041,FALSE,"CA","Coachella","83131 Avenue 48",2022-08-11 20:48:06,2022-08-12
-116.241814,33.708332,FALSE,"CA","Indio","81-544 Highway 111",2022-08-11 20:48:06,2022-08-12
-116.297899,33.759981,FALSE,"CA","Palm Desert","78365 Varner Road",2022-08-11 20:48:06,2022-08-12
-116.280546,33.703708,FALSE,"CA","La Quinta","79-225 Hwy 111",2022-08-11 20:48:06,2022-08-12
-116.288294,33.709873,FALSE,"CA","La Quinta","78-962 Highway 111",2022-08-11 20:48:06,2022-08-12
-116.388588,33.8014,FALSE,"CA","Rancho Mirage","34101 Monterey Ave",2022-08-11 20:48:06,2022-08-12
-116.406398,33.822135,FALSE,"CA","Cathedral City","31250 Bob Hope Drive",2022-08-11 20:48:06,2022-08-12
-116.9991,34.891216,FALSE,"CA","Barstow","1611 E Main St",2022-08-11 20:48:06,2022-08-12
