"lon","lat","is_broken","state","city","street","last_checked","date"
-75.467334,39.794123,FALSE,"DE","Claymont","2702 Philadelphia Pike",2022-08-11 20:59:06,2022-08-12
-75.546905,39.795385,FALSE,"DE","Wilmington","2507 Concord Pike",2022-08-11 20:59:06,2022-08-12
-75.521743,39.761239,FALSE,"DE","Wilmington","4111 North Market Street",2022-08-11 20:59:06,2022-08-12
-75.55812,39.742851,FALSE,"DE","Wilmington","700 West 4th Street",2022-08-11 20:59:06,2022-08-12
-75.583418,39.741454,FALSE,"DE","Wilmington","101 New Rd",2022-08-11 20:59:06,2022-08-12
-75.551561,39.700374,FALSE,"DE","New Castle","3010 New Castle Ave",2022-08-11 20:59:06,2022-08-12
-75.629333,39.73593,FALSE,"DE","Wilmington","3318 Kirkwood Hwy",2022-08-11 20:59:06,2022-08-12
-75.584892,39.685573,FALSE,"DE","New Castle","700 N Dupont Highway",2022-08-11 20:59:06,2022-08-12
-75.630316,39.715424,FALSE,"DE","Stanton","1790 W Newport",2022-08-11 20:59:06,2022-08-12
-75.66086,39.722992,FALSE,"DE","Wilmington","4625 Kirkwood Highway",2022-08-11 20:59:06,2022-08-12
-75.605552,39.665047,FALSE,"DE","New Castle","101 South Dupont Highway",2022-08-11 20:59:06,2022-08-12
-75.682625,39.685885,FALSE,"DE","Newark","4160 Ogletown Stanton Road",2022-08-11 20:59:06,2022-08-12
-75.66112,39.633093,FALSE,"DE","Bear","1401 Governers Pl",2022-08-11 20:59:06,2022-08-12
-75.737484,39.685636,FALSE,"DE","Newark","374 East Main Street",2022-08-11 20:59:06,2022-08-12
-75.7506,39.654952,FALSE,"DE","Newark","815 South College Avenue",2022-08-11 20:59:06,2022-08-12
-75.744535,39.605391,FALSE,"DE","Glasgow","2351 S College Ave",2022-08-11 20:59:06,2022-08-12
-75.72523,39.450991,FALSE,"DE","Middletown","580 Middletown-Warwick Road",2022-08-11 20:59:06,2022-08-12
-75.607929,39.306704,FALSE,"DE","Smyrna","333 N Dupont Hwy",2022-08-11 20:59:06,2022-08-12
-75.555159,39.198839,FALSE,"DE","Dover","1788n Dupont Highway",2022-08-11 21:00:06,2022-08-12
-75.531019,39.182956,FALSE,"DE","Dover","879 N Dupont Highway",2022-08-11 21:00:06,2022-08-12
-75.515897,39.145759,FALSE,"DE","Dover","915 South Dupont Highway",2022-08-11 21:00:06,2022-08-12
-75.494105,39.129375,TRUE,"DE","Dover","1704 East Lebanon Rd",2022-08-11 21:00:06,2022-08-12
-75.558162,39.158585,FALSE,"DE","Dover","1424 Forrest Ave",2022-08-11 21:00:06,2022-08-12
-75.546217,39.10272,FALSE,"DE","Camden","263 Walmart Drive",2022-08-11 21:00:06,2022-08-12
-75.441217,38.918849,FALSE,"DE","Milford","653 North Dupont Highway",2022-08-11 21:00:06,2022-08-12
-75.566181,38.929751,FALSE,"DE","Harrington","16758 S Dupont Hwy",2022-08-11 21:00:06,2022-08-12
-75.134762,38.731586,FALSE,"DE","Rehoboth Beach","18878 Coastal Hwy",2022-08-11 21:00:06,2022-08-12
-75.194071,38.633944,FALSE,"DE","Millsboro","24943 John J Williams Hwy",2022-08-11 21:00:06,2022-08-12
-75.398376,38.692585,FALSE,"DE","Georgetown","20817 Dupont Blvd",2022-08-11 21:00:06,2022-08-12
-75.589491,38.721682,FALSE,"DE","Bridgeville","18733 Sussex Hwy",2022-08-11 21:01:06,2022-08-12
-75.055672,38.52108,FALSE,"DE","Bethany Beach","Ushy 1 & Addy Rd",2022-08-11 21:00:06,2022-08-12
-75.283768,38.571091,FALSE,"DE","Millsboro","30255 Commerce Dr",2022-08-11 21:00:06,2022-08-12
-75.595114,38.653074,FALSE,"DE","Seaford","300 N Dual Hwy",2022-08-11 21:00:06,2022-08-12
-75.117534,38.468439,FALSE,"DE","Selbyville","36218 Lighthouse Rd",2022-08-11 21:01:06,2022-08-12
-75.232873,38.459518,FALSE,"DE","Selbyville","38215 Dupont Blvd",2022-08-11 21:01:06,2022-08-12
-75.55745,38.456926,FALSE,"DE","Delmar","38667 Sussex Highway",2022-08-11 21:01:06,2022-08-12
