"lon","lat","is_broken","state","city","street","last_checked","date"
-81.458202,30.642142,FALSE,"FL","Fernandina Beach","1896 S 8th St",2022-08-11 20:27:06,2022-08-12
-81.551909,30.627912,FALSE,"FL","Yulee","463761 Sr 200",2022-08-11 20:28:06,2022-08-12
-81.645355,30.619995,FALSE,"FL","Yulee","116 E Sr 200",2022-08-11 20:27:06,2022-08-12
-81.635695,30.480178,FALSE,"FL","Jacksonville","14030 Hubble Rd",2022-08-11 20:27:06,2022-08-12
-81.830604,30.563913,FALSE,"FL","Callahan","542361 Us Highway 1",2022-08-11 20:28:06,2022-08-12
-81.634007,30.461062,FALSE,"FL","Jacksonville","12311 N Main Street",2022-08-11 20:28:06,2022-08-12
-81.40061,30.324963,FALSE,"FL","Atlantic Beach","435 Atlantic Blvd",2022-08-11 20:27:06,2022-08-12
-81.502281,30.360598,FALSE,"FL","Jacksonville","2707 Monument Rd",2022-08-11 20:27:06,2022-08-12
-81.660311,30.430416,FALSE,"FL","Jacksonville","909 Dunn Ave",2022-08-11 20:27:06,2022-08-12
-81.698043,30.437641,FALSE,"FL","Jacksonville","11130 Lem Turner Rd",2022-08-11 20:27:06,2022-08-12
-81.46106,30.320623,FALSE,"FL","Jacksonville","13217 Atlantic Blvd",2022-08-11 20:27:06,2022-08-12
-81.391185,30.28762,FALSE,"FL","Jacksonville Beach","51 S 3rd St",2022-08-11 20:28:06,2022-08-12
-81.491443,30.317354,FALSE,"FL","Jacksonville","11900 Atlantic Blvd",2022-08-11 20:28:06,2022-08-12
-81.54535,30.342304,FALSE,"FL","Jacksonville","1441 Hutchinson Dr",2022-08-11 20:28:06,2022-08-12
-81.597418,30.365679,FALSE,"FL","Jacksonville","6030 Fort Caroline Rd",2022-08-11 20:27:06,2022-08-12
-81.576694,30.352432,TRUE,"FL","Jacksonville","7245 Merrill Rd",2022-08-11 20:28:06,2022-08-12
-81.441101,30.287346,FALSE,"FL","Jacksonville","14200 Beach Blvd",2022-08-11 20:27:06,2022-08-12
-81.389035,30.253415,FALSE,"FL","Jacksonville Beach","317 Marsh Landing Pkwy",2022-08-11 20:27:06,2022-08-12
-81.54376,30.322699,FALSE,"FL","Jacksonville","9841 Atlantic Blvd",2022-08-11 20:29:06,2022-08-12
-81.664407,30.371322,FALSE,"FL","Jacksonville","5320 Norwood Ave",2022-08-11 20:29:06,2022-08-12
-81.603126,30.329419,FALSE,"FL","Jacksonville","1001 N University Blvd",2022-08-11 20:29:06,2022-08-12
-81.527243,30.286426,FALSE,"FL","Jacksonville","11310 Beach Blvd",2022-08-11 20:28:06,2022-08-12
-81.667338,30.346679,FALSE,"FL","Jacksonville","1768 Davis St",2022-08-11 20:28:06,2022-08-12
-81.723272,30.370077,FALSE,"FL","Jacksonville","5911 Us Highway 1 North",2022-08-11 20:28:06,2022-08-12
-81.652685,30.332685,FALSE,"FL","Jacksonville","253 State St E",2022-08-11 20:28:06,2022-08-12
-81.562671,30.283467,FALSE,"FL","Jacksonville","8808 Beach Blvd",2022-08-11 20:28:06,2022-08-12
-81.528673,30.26075,FALSE,"FL","Jacksonville","4587 Town Center Parkway",2022-08-11 20:28:06,2022-08-12
-81.380886,30.192291,FALSE,"FL","Ponte Vedra Beach","100 Ponte Vedra Boulevard",2022-08-11 20:28:06,2022-08-12
-81.60549,30.294072,FALSE,"FL","Jacksonville","5689 Beach Blvd",2022-08-11 20:28:06,2022-08-12
