"lon","lat","is_broken","state","city","street","last_checked","date"
-111.778588,43.833695,FALSE,"ID","Rexburg","175 Valley River Dr",2022-08-11 20:46:06,2022-08-12
-111.808068,43.8041,FALSE,"ID","Rexburg","850 University Blvd",2022-08-11 20:46:06,2022-08-12
-111.980721,43.487155,FALSE,"ID","Ammon","1201 South 25th East",2022-08-11 20:46:06,2022-08-12
-111.984058,43.480217,TRUE,"ID","Ammon","1875 South 25th East",2022-08-11 20:46:06,2022-08-12
-112.017997,43.510632,FALSE,"ID","Idaho Falls","1575 N Gate Mile",2022-08-11 20:46:06,2022-08-12
-112.020592,43.482214,FALSE,"ID","Idaho Falls","650 E 17th St",2022-08-11 20:46:06,2022-08-12
-112.057874,43.496163,TRUE,"ID","Idaho Falls","1485 W Broadway",2022-08-11 20:46:06,2022-08-12
-112.119809,43.436657,FALSE,"ID","Idaho Falls","6737 South 45th West",2022-08-11 20:46:06,2022-08-12
-112.360095,43.195973,FALSE,"ID","Blackfoot","1275 Parkway Dr",2022-08-11 20:46:06,2022-08-12
-112.435513,42.859303,FALSE,"ID","Pocatello","1011 S 5th",2022-08-11 20:46:06,2022-08-12
-112.451916,42.889931,FALSE,"ID","Pocatello","831 Yellowstone Hwy",2022-08-11 20:46:06,2022-08-12
-112.465672,42.910992,FALSE,"ID","Chubbuck","4260 Yellowstone Avenue",2022-08-11 20:46:06,2022-08-12
-113.7938,42.559891,FALSE,"ID","Burley","394 N Overland Ave",2022-08-11 20:46:06,2022-08-12
-114.319897,43.526588,FALSE,"ID","Hailey","720 N Main St",2022-08-11 20:47:06,2022-08-12
-114.420938,42.547982,FALSE,"ID","Twin Falls","3234 Kimberly Road",2022-08-11 20:46:06,2022-08-12
-114.461173,42.592355,FALSE,"ID","Twin Falls","869 Pole Line Rd",2022-08-11 20:46:06,2022-08-12
-114.46078,42.567099,FALSE,"ID","Twin Falls","305 Blue Lakes Blvd N",2022-08-11 20:47:06,2022-08-12
-114.480603,42.563894,FALSE,"ID","Twin Falls","110 Addison Ave West",2022-08-11 20:46:06,2022-08-12
-114.519277,42.694754,TRUE,"ID","Jerome","2611 S Lincoln St",2022-08-11 20:47:06,2022-08-12
-114.711762,42.92274,FALSE,"ID","Gooding","2440 Main Street",2022-08-11 20:47:06,2022-08-12
-114.749767,42.594109,FALSE,"ID","Buhl","706 Us Hwy 30",2022-08-11 20:47:06,2022-08-12
-116.133468,47.547418,FALSE,"ID","Kellogg","820 W Cameron",2022-08-11 20:47:06,2022-08-12
-115.664387,43.136983,FALSE,"ID","Mountain Home","2840 American Legion Blvd",2022-08-11 20:46:06,2022-08-12
-115.700656,43.126132,FALSE,"ID","Mountain Home","755 Air Base Rd",2022-08-11 20:46:06,2022-08-12
-116.545522,48.300865,FALSE,"ID","Ponderay","205 Bonner Mall Way",2022-08-11 20:47:06,2022-08-12
-116.788235,47.700518,FALSE,"ID","Coeur D Alene","208 Appleway Ave",2022-08-11 20:47:06,2022-08-12
-116.791867,47.729581,FALSE,"ID","Coeur D'Alene","340 W Hanley St",2022-08-11 20:47:06,2022-08-12
-116.8042,47.693738,FALSE,"ID","Coeur D Alene","1325 W Riverstone Drive",2022-08-11 20:47:06,2022-08-12
-116.154909,43.542299,FALSE,"ID","Boise","6574 S Federal Way",2022-08-11 20:48:06,2022-08-12
-116.194206,43.59621,FALSE,"ID","Boise","1375 South Broadway Avenue",2022-08-11 20:47:06,2022-08-12
-116.214174,43.593863,TRUE,"ID","Boise","1185 Vista Ave",2022-08-11 20:47:06,2022-08-12
-116.221531,43.621202,FALSE,"ID","Boise","2510 Fairview Ave",2022-08-11 20:47:06,2022-08-12
-116.882318,47.816936,FALSE,"ID","Rathdrum","7120 West Main St",2022-08-11 20:47:06,2022-08-12
-116.242896,43.609385,FALSE,"ID","Boise","510 N Orchard",2022-08-11 20:47:06,2022-08-12
-116.922227,47.711133,FALSE,"ID","Post Falls","1615 E Seltice Way",2022-08-11 20:47:06,2022-08-12
-116.280325,43.648824,FALSE,"ID","Boise","4825 North Glenwood Street",2022-08-11 20:47:06,2022-08-12
-116.272046,43.590711,FALSE,"ID","Boise","7222 Overland Rd",2022-08-11 20:47:06,2022-08-12
-116.279698,43.619055,FALSE,"ID","Boise","7811 Fairview Ave",2022-08-11 20:48:06,2022-08-12
-116.284973,43.592809,FALSE,"ID","Boise","8300 W Overland Rd",2022-08-11 20:47:06,2022-08-12
-116.288671,43.604682,FALSE,"ID","Boise","8571 W Franklin Rd",2022-08-11 20:47:06,2022-08-12
-116.304779,43.620263,FALSE,"ID","Boise","9804 Fairview Ave",2022-08-11 20:48:06,2022-08-12
-116.353603,43.693359,FALSE,"ID","Eagle","178 S Eagle Rd",2022-08-11 20:47:06,2022-08-12
-116.999341,47.711409,FALSE,"ID","Post Falls","3820 W 5th Ave",2022-08-11 20:47:06,2022-08-12
-116.353573,43.633524,FALSE,"ID","Meridian","3251 E Ustick Rd",2022-08-11 20:47:06,2022-08-12
-116.355707,43.60013,FALSE,"ID","Meridian","3100 E Magic View Dr",2022-08-11 20:48:06,2022-08-12
-116.372984,43.619827,FALSE,"ID","Meridian","1710 E Fairview Ave",2022-08-11 20:47:06,2022-08-12
-116.392626,43.597103,FALSE,"ID","Meridian","195 E Central Dr",2022-08-11 20:48:06,2022-08-12
-116.411111,43.66338,FALSE,"ID","Eagle","1460 West Chinden Boulevard",2022-08-11 20:47:06,2022-08-12
-116.394511,43.500153,FALSE,"ID","Kuna","1311 N Meridian Road",2022-08-11 20:48:06,2022-08-12
-116.989017,46.722348,FALSE,"ID","Moscow","862 Troy Road",2022-08-11 20:47:06,2022-08-12
-116.435863,43.618959,FALSE,"ID","Meridian","3415 W Cherry Lane",2022-08-11 20:47:06,2022-08-12
-116.500629,43.863313,FALSE,"ID","Emmett","1335 S Washington",2022-08-11 20:47:06,2022-08-12
-117.021355,46.732956,FALSE,"ID","Moscow","1404 Moscow-Pullman Highway",2022-08-11 20:47:06,2022-08-12
-116.989271,46.390393,FALSE,"ID","Lewiston","119 Thain Road",2022-08-11 20:48:06,2022-08-12
-117.00143,46.41317,FALSE,"ID","Lewiston","711 21st Street",2022-08-11 20:47:06,2022-08-12
-116.517085,43.595682,FALSE,"ID","Nampa","4412 Garrity Blvd",2022-08-11 20:48:06,2022-08-12
-116.574762,43.586641,TRUE,"ID","Nampa","148 Caldwell Blvd",2022-08-11 20:47:06,2022-08-12
-116.572272,43.55806,FALSE,"ID","Nampa","1108 12th Ave S",2022-08-11 20:47:06,2022-08-12
-116.593972,43.614078,TRUE,"ID","Nampa","16801 N Marketplace Blvd",2022-08-11 20:47:06,2022-08-12
-116.645358,43.631129,TRUE,"ID","Caldwell","5108 E Cleveland Blvd",2022-08-11 20:47:06,2022-08-12
-116.665949,43.648652,FALSE,"ID","Caldwell","2923 Cleveland Blvd",2022-08-11 20:47:06,2022-08-12
-116.963431,44.246083,FALSE,"ID","Weiser","406 E Main St",2022-08-11 20:48:06,2022-08-12
