"lon","lat","is_broken","state","city","street","last_checked","date"
-87.524928,41.702458,FALSE,"IL","Chicago","4047 East 106th Street",2022-08-11 20:23:06,2022-08-12
-87.54101,41.600419,FALSE,"IL","Calumet City","656 River Oaks Drive",2022-08-11 20:23:06,2022-08-12
-87.550869,41.727768,FALSE,"IL","Chicago","9211 S Commercial",2022-08-11 20:23:06,2022-08-12
-87.559246,41.571667,FALSE,"IL","Lansing","17810 S Torrence",2022-08-11 20:23:06,2022-08-12
-87.565351,41.751366,FALSE,"IL","Chicago","2425 E 79th St",2022-08-11 20:23:06,2022-08-12
-87.573838,41.623109,FALSE,"IL","Calumet City","2004 Sibley Blvd",2022-08-11 20:23:06,2022-08-12
-87.575781,41.722103,FALSE,"IL","Chicago","1951 E 95th St",2022-08-11 20:23:06,2022-08-12
-87.57933,41.469385,FALSE,"IL","Crete","1350 Steger Rd",2022-08-11 20:23:06,2022-08-12
-87.586815,41.775364,FALSE,"IL","Chicago","6560 S Stoney Island Ave",2022-08-11 20:23:06,2022-08-12
-87.588902,41.736593,FALSE,"IL","Chicago","1443 E 87th St",2022-08-11 20:23:06,2022-08-12
-87.588089,41.80088,FALSE,"IL","Chicago","5200 S Lake Park",2022-08-11 20:23:06,2022-08-12
-87.597206,41.600511,FALSE,"IL","South Holland","801 East 162nd St",2022-08-11 20:23:06,2022-08-12
-87.599296,41.578756,FALSE,"IL","South Holland","700 East Tri-State I-294",2022-08-11 20:23:06,2022-08-12
-87.607639,41.6857,FALSE,"IL","Chicago","600 E 115th St",2022-08-11 20:23:06,2022-08-12
-87.607124,41.809867,FALSE,"IL","Chicago","740 E 47th St",2022-08-11 20:23:06,2022-08-12
-87.608894,41.891668,FALSE,"IL","Chicago","600 E Grand Ave",2022-08-11 20:23:06,2022-08-12
-87.61543,41.750948,FALSE,"IL","Chicago","7900 S Martin Luther King Dr",2022-08-11 20:23:06,2022-08-12
-87.620654,41.348482,FALSE,"IL","Beecher","901 Dixie Highway",2022-08-11 20:23:06,2022-08-12
-87.616806,41.847136,FALSE,"IL","Chicago","2525 S Martin Luther King Dr",2022-08-11 20:23:06,2022-08-12
