"lon","lat","is_broken","state","city","street","last_checked","date"
-84.850121,41.140738,FALSE,"IN","Woodburn","5959 N Sr 101",2022-08-11 21:10:06,2022-08-12
-84.886863,41.429966,FALSE,"IN","Butler","533 W Main St",2022-08-11 21:11:06,2022-08-12
-84.808176,40.197521,FALSE,"IN","Union City","115 S Columbia",2022-08-11 21:10:06,2022-08-12
-84.937208,40.833029,FALSE,"IN","Decatur","410 N 13th St",2022-08-11 21:11:06,2022-08-12
-84.824447,39.833315,FALSE,"IN","Richmond","400 Commerce Rd",2022-08-11 21:11:06,2022-08-12
-84.956161,40.663819,FALSE,"IN","Berne","776 Us Hwy 27 N",2022-08-11 21:11:06,2022-08-12
-84.998747,41.653667,FALSE,"IN","Angola","1650 N Wayne St",2022-08-11 21:11:06,2022-08-12
-85.000042,41.741085,FALSE,"IN","Fremont","6800 N Old Us 27",2022-08-11 21:11:06,2022-08-12
-84.978413,40.43887,FALSE,"IN","Portland","618 N Meridian",2022-08-11 21:11:06,2022-08-12
-84.878651,39.829315,FALSE,"IN","Richmond","1725 E Main St",2022-08-11 21:11:06,2022-08-12
-84.889416,39.866645,FALSE,"IN","Richmond","2320 Chester Blvd",2022-08-11 21:11:06,2022-08-12
-85.045275,41.069272,FALSE,"IN","New Haven","7502 W Sr 930",2022-08-11 21:11:06,2022-08-12
-84.965751,40.172517,FALSE,"IN","Winchester","911 E Washington St",2022-08-11 21:11:06,2022-08-12
-85.043885,41.634471,FALSE,"IN","Angola","3021 W Maumee",2022-08-11 21:11:06,2022-08-12
-85.063152,41.120923,TRUE,"IN","Fort Wayne","6131 Stellhorn Rd",2022-08-11 21:11:06,2022-08-12
-85.076409,41.366158,FALSE,"IN","Auburn","1109 W 7th St",2022-08-11 21:11:06,2022-08-12
-85.088966,41.097166,FALSE,"IN","Fort Wayne","3940 E State St",2022-08-11 21:11:06,2022-08-12
-84.943653,39.823116,FALSE,"IN","Richmond","3126 National Rd W",2022-08-11 21:11:06,2022-08-12
-85.101528,41.133137,FALSE,"IN","Fort Wayne","3202 St Joe Center Road",2022-08-11 21:11:06,2022-08-12
-85.112539,41.0142,FALSE,"IN","Fort Wayne","7640 S Anthony Blvd",2022-08-11 21:11:06,2022-08-12
-85.125803,41.177966,FALSE,"IN","Fort Wayne","1210 Dupont Rd",2022-08-11 21:11:06,2022-08-12
-85.135817,41.049693,FALSE,"IN","Fort Wayne","202 E Rudisill",2022-08-11 21:11:06,2022-08-12
-85.139342,41.118651,FALSE,"IN","Fort Wayne","255 E Coliseum Blvd",2022-08-11 21:11:06,2022-08-12
-85.145628,41.074783,FALSE,"IN","Fort Wayne","515 W Jefferson",2022-08-11 21:11:06,2022-08-12
-85.157258,41.131968,FALSE,"IN","Fort Wayne","1333 W Washington Center Rd",2022-08-11 21:11:06,2022-08-12
-85.15682,41.099924,FALSE,"IN","Fort Wayne","1103 Goshen Rd",2022-08-11 21:11:06,2022-08-12
-85.166687,41.173602,FALSE,"IN","Fort Wayne","9827 Lima Road",2022-08-11 21:11:06,2022-08-12
-85.169893,41.019048,TRUE,"IN","Fort Wayne","6810 Bluffton Rd",2022-08-11 21:11:06,2022-08-12
-84.855441,39.219878,FALSE,"IN","Lawrenceburg","24072 State Line Road",2022-08-11 21:11:06,2022-08-12
-85.183041,41.118185,FALSE,"IN","Fort Wayne","3010 W Coliseum B Lvd",2022-08-11 21:11:06,2022-08-12
-85.166708,40.755827,FALSE,"IN","Bluffton","984 N Main St",2022-08-11 21:11:06,2022-08-12
-84.851837,39.111711,FALSE,"IN","Greendale","595 E Eads Pky",2022-08-11 21:11:06,2022-08-12
-85.213581,41.06035,FALSE,"IN","Fort Wayne","5703 W Jefferson St",2022-08-11 21:11:06,2022-08-12
-85.222826,41.36438,FALSE,"IN","Avilla","828 E Albion St",2022-08-11 21:11:06,2022-08-12
-84.878016,39.086007,FALSE,"IN","Lawrenceburg","860 W Eads Pky",2022-08-11 21:11:06,2022-08-12
-85.257186,41.032571,FALSE,"IN","Fort Wayne","5796 Coventry Ln",2022-08-11 21:11:06,2022-08-12
-85.269152,41.451946,FALSE,"IN","Kendallville","211 W North St",2022-08-11 21:11:06,2022-08-12
-85.013072,39.42382,FALSE,"IN","Brookville","834 Main St",2022-08-11 21:11:06,2022-08-12
-85.276473,41.074765,FALSE,"IN","Fort Wayne","10310 Illinois Rd",2022-08-11 21:11:06,2022-08-12
-85.143211,39.8505,FALSE,"IN","Cambridge City","14243 Frontage Rd",2022-08-11 21:11:06,2022-08-12
-85.316812,41.225289,FALSE,"IN","Churubusco","561 S Main",2022-08-11 21:11:06,2022-08-12
-85.24981,40.300047,FALSE,"IN","Albany","960 W Walnut",2022-08-11 21:11:06,2022-08-12
-85.135138,39.671868,FALSE,"IN","Connersville","518 W 30th St",2022-08-11 21:11:06,2022-08-12
-85.370522,40.467194,FALSE,"IN","Hartford City","1903 N Walnut St",2022-08-11 21:11:06,2022-08-12
-85.417137,41.638361,FALSE,"IN","Lagrange","613 Detroit St",2022-08-11 21:11:06,2022-08-12
-85.436957,40.723051,FALSE,"IN","Warren","7221 S Warren Rd",2022-08-11 21:11:06,2022-08-12
-85.376244,40.21866,FALSE,"IN","Muncie","901 E Mcgalliard St",2022-08-11 21:11:06,2022-08-12
-85.381274,40.191292,TRUE,"IN","Muncie","500 E Charles St",2022-08-11 21:11:06,2022-08-12
-85.48511,41.170716,FALSE,"IN","Columbia City","1001 Spartan Dr",2022-08-11 21:11:06,2022-08-12
-85.21494,39.308994,FALSE,"IN","Batesville","320 Cross County Plaza",2022-08-11 21:11:06,2022-08-12
-85.41938,40.19185,FALSE,"IN","Muncie","305 South Tillotson Avenue",2022-08-11 21:11:06,2022-08-12
-85.504056,40.892635,FALSE,"IN","Huntington","60 Home St",2022-08-11 21:11:06,2022-08-12
-85.431431,40.219439,FALSE,"IN","Muncie","3301 N Chadam Ln",2022-08-11 21:11:06,2022-08-12
-85.383476,39.915558,FALSE,"IN","New Castle","1720 S Memorial Dr",2022-08-11 21:11:06,2022-08-12
-85.461113,40.180789,FALSE,"IN","Yorktown","1400 S Nebo Rd",2022-08-11 21:11:06,2022-08-12
-85.586886,41.453594,FALSE,"IN","Ligonier","1320 Lincolnway S",2022-08-11 21:11:06,2022-08-12
-85.548951,40.554328,FALSE,"IN","Marion","253 Tippy Ditch",2022-08-11 21:11:06,2022-08-12
-85.254539,39.069491,FALSE,"IN","Versailles","301 S Adams St",2022-08-11 21:11:06,2022-08-12
-85.593919,40.487432,TRUE,"IN","Gas City","1040 E. Main St.",2022-08-11 21:11:06,2022-08-12
-85.444402,39.625615,FALSE,"IN","Rushville","1602 N Main St",2022-08-11 21:11:06,2022-08-12
-85.573575,40.113444,FALSE,"IN","Daleville","15881 W Commerce",2022-08-11 21:11:06,2022-08-12
-85.704979,41.655621,FALSE,"IN","Middlebury","57900 State Hwy 13",2022-08-11 21:11:06,2022-08-12
-85.557612,39.843607,FALSE,"IN","Knightstown","6190 South State Road 109",2022-08-11 21:11:06,2022-08-12
-85.675876,40.573743,FALSE,"IN","Marion","1225 N Baldwin Ave",2022-08-11 21:11:06,2022-08-12
-85.674217,40.543547,FALSE,"IN","Marion","2006 S Western Avenue",2022-08-11 21:11:06,2022-08-12
-85.745589,41.411182,FALSE,"IN","Syracuse","902 S Huntington St",2022-08-11 21:11:06,2022-08-12
-85.671052,40.276175,TRUE,"IN","Alexandria","1503 N Park Street",2022-08-11 21:11:06,2022-08-12
-85.65171,40.096637,TRUE,"IN","Anderson","2014 Scatterfield Rd",2022-08-11 21:11:06,2022-08-12
-85.480167,39.354942,FALSE,"IN","Greensburg","1903 N Lincoln St",2022-08-11 21:11:06,2022-08-12
-85.653726,40.062192,FALSE,"IN","Anderson","5233 Scatterfield Rd",2022-08-11 21:11:06,2022-08-12
-85.67413,40.14835,FALSE,"IN","Anderson","2830 North Broadway",2022-08-11 21:11:06,2022-08-12
-85.680855,40.101774,FALSE,"IN","Anderson","111 W 14th St",2022-08-11 21:11:06,2022-08-12
-85.796386,41.560511,FALSE,"IN","Goshen","2001 Lincolnway E",2022-08-11 21:11:06,2022-08-12
-85.800587,41.230133,FALSE,"IN","Warsaw","3611 Commerce Dr",2022-08-11 20:21:06,2022-08-12
-85.793764,41.000491,FALSE,"IN","North Manchester","Sr 114 & Sr 13",2022-08-11 21:11:06,2022-08-12
-85.820132,41.668181,FALSE,"IN","Goshen","18423 Us 20",2022-08-11 20:21:06,2022-08-12
-85.853155,41.240568,FALSE,"IN","Warsaw","315 N Detroit St",2022-08-11 20:21:06,2022-08-12
-85.853651,41.268973,FALSE,"IN","Warsaw","2473 Jalynn St",2022-08-11 20:21:06,2022-08-12
-85.83657,40.812873,FALSE,"IN","Wabash","1300 North Cass Street",2022-08-11 20:21:06,2022-08-12
-85.85782,41.593947,FALSE,"IN","Goshen","1706 Elkhart Rd",2022-08-11 20:21:06,2022-08-12
-85.402792,38.775361,FALSE,"IN","Madison","744 Clifty Dr",2022-08-11 20:21:06,2022-08-12
-85.626446,39.45035,FALSE,"IN","St. Paul","7880 N Old Us Hwy 421",2022-08-11 20:21:06,2022-08-12
