"lon","lat","is_broken","state","city","street","last_checked","date"
-82.627199,38.472071,FALSE,"KY","Ashland","2550 Winchester Avenue",2022-08-11 21:08:06,2022-08-12
-82.601424,38.402533,FALSE,"KY","Catlettsburg","Us Route 23 Louisa Road",2022-08-11 21:08:06,2022-08-12
-82.658182,38.485597,FALSE,"KY","Ashland","351 River Hill Road",2022-08-11 21:08:06,2022-08-12
-82.672361,38.495628,FALSE,"KY","Ashland","150 Russell Road",2022-08-11 21:08:06,2022-08-12
-82.720626,38.520125,FALSE,"KY","Flatwoods","2133 Argillite Rd",2022-08-11 21:08:06,2022-08-12
-82.691563,38.435885,FALSE,"KY","Ashland","6015 Us Rte 60",2022-08-11 21:08:06,2022-08-12
-82.272906,37.656102,FALSE,"KY","Goody","Rt. 119, South Side Mall",2022-08-11 21:08:06,2022-08-12
-82.704238,38.371836,FALSE,"KY","Ashland","14525 State Route 180",2022-08-11 21:08:06,2022-08-12
-82.827589,38.567736,FALSE,"KY","Greenup","1519 Seaton Avenu",2022-08-11 21:08:06,2022-08-12
-82.627443,38.125412,FALSE,"KY","Louisa","Us-23 New And Route 3",2022-08-11 21:08:06,2022-08-12
-82.515235,37.85441,FALSE,"KY","Inez","72 Blacklog Rd",2022-08-11 21:09:06,2022-08-12
-82.943618,38.340996,FALSE,"KY","Grayson","751 Carol Malone Blvd",2022-08-11 21:09:06,2022-08-12
-82.535382,37.504838,FALSE,"KY","Pikeville","190 Cassady Blvd",2022-08-11 21:09:06,2022-08-12
-82.528176,37.473133,FALSE,"KY","Pikeville","101 Baird Ave",2022-08-11 21:08:06,2022-08-12
-82.566103,37.517727,FALSE,"KY","Pikeville","3683 N Mayo Trail",2022-08-11 21:08:06,2022-08-12
-82.817703,37.822147,FALSE,"KY","Paintsville","305 North Mayo Trail",2022-08-11 21:08:06,2022-08-12
-82.778051,37.682066,FALSE,"KY","Prestonsburg","North Lake Drive",2022-08-11 21:09:06,2022-08-12
-82.783222,37.656252,FALSE,"KY","Prestonsburg","584 Village Drive",2022-08-11 21:09:06,2022-08-12
-83.161726,38.304244,FALSE,"KY","Olive Hill","720 E Tom T Hall Blvd",2022-08-11 21:09:06,2022-08-12
-83.3266,38.59181,FALSE,"KY","Vanceburg","Aa Highway At Shelton Street",2022-08-11 21:09:06,2022-08-12
-82.762578,37.562219,FALSE,"KY","Martin","12575 Main St",2022-08-11 21:09:06,2022-08-12
-83.123893,38.088042,FALSE,"KY","Sandy Hook","Route 32",2022-08-11 21:09:06,2022-08-12
-83.047308,37.7409,FALSE,"KY","Salyersville","222 E Mountain Pkwy",2022-08-11 21:09:06,2022-08-12
-83.28398,37.898252,FALSE,"KY","West Liberty","1640 W Main St",2022-08-11 21:09:06,2022-08-12
-83.443943,38.180363,FALSE,"KY","Morehead","402 Femingsburg Rd",2022-08-11 21:09:06,2022-08-12
-82.803947,37.11064,FALSE,"KY","Whitesburg","709 Cumberland Rd",2022-08-11 21:09:06,2022-08-12
-83.476554,38.18952,FALSE,"KY","Morehead","1690 Fleming Road",2022-08-11 21:09:06,2022-08-12
-83.778827,38.643056,FALSE,"KY","Maysville","902 Us 68",2022-08-11 21:10:06,2022-08-12
-83.754148,38.420759,FALSE,"KY","Flemingsburg","St Rt 32 & Bypass 11",2022-08-11 21:10:06,2022-08-12
-83.210242,37.288021,FALSE,"KY","Hazard","1326 Combs Road",2022-08-11 21:10:06,2022-08-12
-83.199841,37.26112,FALSE,"KY","Hazard","205 Citizens Lane",2022-08-11 21:10:06,2022-08-12
-83.39865,37.561352,FALSE,"KY","Jackson","931 Ky Hwy 15 N",2022-08-11 21:10:06,2022-08-12
-83.75325,38.129141,FALSE,"KY","Owingsville","I-64 State Route 36",2022-08-11 21:10:06,2022-08-12
-83.898922,38.086025,TRUE,"KY","Mt. Sterling","3060 Owingsville Road",2022-08-11 21:10:06,2022-08-12
-83.949294,38.074737,FALSE,"KY","Mt. Sterling","642 Maysville Rd",2022-08-11 21:10:06,2022-08-12
-83.858025,37.839817,FALSE,"KY","Stanton","385 Furnace Rd",2022-08-11 21:10:06,2022-08-12
-84.402857,38.9866,FALSE,"KY","Alexandria","6707 Alexandria Pike",2022-08-11 21:10:06,2022-08-12
-84.4829,39.097909,FALSE,"KY","Bellevue","15 Donnermeyer Dr",2022-08-11 21:10:06,2022-08-12
-84.480626,39.078608,FALSE,"KY","Newport","1930 Monmouth Street",2022-08-11 21:10:06,2022-08-12
-84.469424,39.010487,FALSE,"KY","Wilder","1450 Saint Johns Lane",2022-08-11 21:10:06,2022-08-12
-84.344023,38.677761,FALSE,"KY","Falmouth","1131 Ridgeway Ave",2022-08-11 21:10:06,2022-08-12
-84.504891,39.045608,FALSE,"KY","Covington","3903 Winston Ave",2022-08-11 21:10:06,2022-08-12
-84.519286,39.08731,FALSE,"KY","Covington","302 Philadelphia",2022-08-11 21:10:06,2022-08-12
-83.316491,36.817244,FALSE,"KY","Harlan","2501 U.S. 421",2022-08-11 21:10:06,2022-08-12
-84.509332,39.016934,FALSE,"KY","Taylor Mill","5055 Old Taylor Mill Rd",2022-08-11 21:11:06,2022-08-12
-84.535289,39.024866,FALSE,"KY","Edgewood","6 Sperti Drive",2022-08-11 21:11:06,2022-08-12
-84.308638,38.379594,FALSE,"KY","Cynthiana","853 Us Hwy 27 S",2022-08-11 21:11:06,2022-08-12
-84.57697,39.047684,FALSE,"KY","Crescent Springs","2513 Hazlewood Drive",2022-08-11 21:11:06,2022-08-12
-84.545327,38.928885,FALSE,"KY","Independence","2088 Declaration Dr",2022-08-11 21:11:06,2022-08-12
-84.588579,39.021708,FALSE,"KY","Erlanger","3050 Dixie Hwy",2022-08-11 21:11:06,2022-08-12
-83.987632,37.697001,FALSE,"KY","Irvine","901 Richmond Rd",2022-08-11 21:11:06,2022-08-12
-84.27707,38.192412,FALSE,"KY","Paris","101 Reinhold St",2022-08-11 21:11:06,2022-08-12
-84.621169,39.004596,FALSE,"KY","Florence","6726 Dixie Hwy",2022-08-11 21:11:06,2022-08-12
