"lon","lat","is_broken","state","city","street","last_checked","date"
-89.545738,37.312606,FALSE,"MO","Cape Girardeau","1925 Broadway Street",2022-08-11 20:29:06,2022-08-12
-89.354345,36.90423,FALSE,"MO","Charleston","2071 S Main Street",2022-08-11 20:29:06,2022-08-12
-89.583407,37.302693,FALSE,"MO","Cape Girardeau","3419 Williams",2022-08-11 20:29:06,2022-08-12
-89.642748,37.369278,FALSE,"MO","Jackson","2220 Hwy 61 E",2022-08-11 20:29:06,2022-08-12
-90.220695,38.772799,FALSE,"MO","St. Louis","11111 Bellefontaine Rd",2022-08-11 20:29:06,2022-08-12
-90.231888,38.796379,FALSE,"MO","Florissant","6883 Parker Rd",2022-08-11 20:29:06,2022-08-12
-89.541702,37.089603,FALSE,"MO","Benton","6415 State Hwy 77",2022-08-11 20:29:06,2022-08-12
-90.195483,38.636908,FALSE,"MO","St. Louis","1119 N Tucker",2022-08-11 20:29:06,2022-08-12
-90.217882,38.685236,FALSE,"MO","St. Louis","6100 N Broadway St",2022-08-11 20:29:06,2022-08-12
-90.244077,38.72775,FALSE,"MO","Jennings","8983 Jennings Station Road",2022-08-11 20:29:06,2022-08-12
-90.221972,38.612495,FALSE,"MO","St. Louis","1919 S Jefferson",2022-08-11 20:29:06,2022-08-12
-90.250699,38.676173,FALSE,"MO","St. Louis","4979 Natural Bridge Rd",2022-08-11 20:29:06,2022-08-12
-90.280827,38.767875,FALSE,"MO","Ferguson","10873 W Florissant Ave",2022-08-11 20:29:06,2022-08-12
-90.296881,38.810829,FALSE,"MO","Florissant","3165 N Hwy 67",2022-08-11 20:29:06,2022-08-12
-90.243767,38.639053,FALSE,"MO","St. Louis","4006 Lindell Blvd",2022-08-11 20:29:06,2022-08-12
-89.89167,37.71162,FALSE,"MO","Perryville","1302 S Perryville Blvd",2022-08-11 20:29:06,2022-08-12
-90.278493,38.73552,FALSE,"MO","Saint Louis","9131 W Florissant",2022-08-11 20:29:06,2022-08-12
-90.290743,38.700575,FALSE,"MO","St. Louis","7171 Natural Bridge Rd",2022-08-11 20:29:06,2022-08-12
-89.536096,36.891026,FALSE,"MO","Miner","2605 E Malone",2022-08-11 20:29:06,2022-08-12
-90.30448,38.723333,FALSE,"MO","St Louis","1790 S Florissant Rd",2022-08-11 20:29:06,2022-08-12
-90.334519,38.800558,FALSE,"MO","Florissant","15 Florissant Oaks Shopping Center",2022-08-11 20:29:06,2022-08-12
-90.335791,38.773857,FALSE,"MO","Hazelwood","8700 Pershall Rd",2022-08-11 20:29:06,2022-08-12
-90.287483,38.624458,FALSE,"MO","St. Louis","1420 Hampton Avenue",2022-08-11 20:29:06,2022-08-12
-90.349027,38.8125,FALSE,"MO","Florissant","1090 Shackleford",2022-08-11 20:29:06,2022-08-12
-90.276009,38.586227,FALSE,"MO","St. Louis","4620 South Kingshighway",2022-08-11 20:29:06,2022-08-12
-90.049355,37.967709,FALSE,"MO","Sainte Genevieve","706 Ste Geneviewe Drive",2022-08-11 20:29:06,2022-08-12
-90.354951,38.783391,FALSE,"MO","Hazelwood","7300 N Lindbergh",2022-08-11 20:29:06,2022-08-12
-90.293806,38.592967,FALSE,"MO","St. Louis","4200 Hampton Ave",2022-08-11 20:29:06,2022-08-12
-90.292522,38.565636,FALSE,"MO","St. Louis","7241 Gravois Avenue",2022-08-11 20:29:06,2022-08-12
-90.287693,38.54598,FALSE,"MO","St. Louis","4011 Bayless Ave",2022-08-11 20:29:06,2022-08-12
-90.350102,38.710151,FALSE,"MO","Saint Louis","8860 St Charles Rock Road",2022-08-11 20:29:06,2022-08-12
-90.378734,38.783662,FALSE,"MO","Hazelwood","6270 Howdershell Rd",2022-08-11 20:29:06,2022-08-12
-90.347048,38.673931,FALSE,"MO","University City","8127 Olive Street Road",2022-08-11 20:29:06,2022-08-12
-89.583752,36.858516,FALSE,"MO","Sikeston","1301 S Main",2022-08-11 20:29:06,2022-08-12
-90.31905,38.58311,FALSE,"MO","Shrewsbury","7259 Watson Rd",2022-08-11 20:29:06,2022-08-12
-90.335484,38.626693,FALSE,"MO","Brentwood","1595 S Hanley",2022-08-11 20:29:06,2022-08-12
-90.357734,38.686238,FALSE,"MO","Overland","8960 Page Avenue",2022-08-11 20:29:06,2022-08-12
-90.299551,38.496202,TRUE,"MO","St. Louis","3282 Telegraph Rd",2022-08-11 20:29:06,2022-08-12
-90.338371,38.591175,FALSE,"MO","Webster Groves","4 S Old Orchard Rd",2022-08-11 20:29:06,2022-08-12
-90.390918,38.73349,TRUE,"MO","St. Ann","10805 Saint Charles Rock Rd",2022-08-11 20:29:06,2022-08-12
-90.305475,38.471569,FALSE,"MO","St. Louis","5537 Telegraph Rd",2022-08-11 20:29:06,2022-08-12
-90.376421,38.673648,FALSE,"MO","Olivette","9406 Olive Street Rd",2022-08-11 20:29:06,2022-08-12
-90.389954,38.691914,FALSE,"MO","St. Louis","10431 Page Ave",2022-08-11 20:29:06,2022-08-12
-90.333435,38.500947,FALSE,"MO","St. Louis","4407 Lemay Ferry Rd",2022-08-11 20:29:06,2022-08-12
-90.374567,38.606869,TRUE,"MO","Rock Hill","9815 Manche Ster Rd",2022-08-08 01:00:06,2022-08-08
-90.346413,38.521984,FALSE,"MO","St. Louis","5904 S Lindbergh Blvd",2022-08-11 20:29:06,2022-08-12
-90.430077,38.757378,FALSE,"MO","Bridgeton","12499 Natural Bridge Rd",2022-08-11 20:29:06,2022-08-12
-90.454873,38.761888,FALSE,"MO","Earth City","3296 Rider Trl S",2022-08-11 20:29:06,2022-08-12
-90.393754,38.55704,FALSE,"MO","Crestwood","9915 Watson Rd",2022-08-11 20:30:06,2022-08-12
-90.443806,38.700298,FALSE,"MO","St. Louis","25 Westport Plaza Drive",2022-08-11 20:29:06,2022-08-12
-90.437091,38.671734,FALSE,"MO","Creve Coeur","11521 Olive Blvd",2022-08-11 20:30:06,2022-08-12
-90.406013,38.577091,FALSE,"MO","Kirkwood","350 S Kirkwood Rd",2022-08-11 20:29:06,2022-08-12
-90.380927,38.49399,FALSE,"MO","St. Louis","13050 Tesson Ferry Rd",2022-08-11 20:29:06,2022-08-12
-90.456695,38.714223,FALSE,"MO","Maryland Heights","12680 Dorsett Rd",2022-08-11 20:29:06,2022-08-12
-90.375865,38.444979,FALSE,"MO","Arnold","130 Arnold Cross Roads",2022-08-11 20:29:06,2022-08-12
-90.491476,38.772582,FALSE,"MO","St. Charles","1160 S 5th St",2022-08-11 20:30:06,2022-08-12
-90.438545,38.602058,FALSE,"MO","Des Peres","12120 Manche Ster Road",2022-08-11 20:29:06,2022-08-12
-90.513951,38.819366,FALSE,"MO","St. Charles","3701 Elm St",2022-08-11 20:29:06,2022-08-12
-90.225682,38.005487,FALSE,"MO","Bloomsdale","8349 Enterprise Rd",2022-08-11 20:30:06,2022-08-12
-90.39075,38.418425,FALSE,"MO","Arnold","2005 Richardson Rd",2022-08-11 20:30:06,2022-08-12
-90.530086,38.779086,FALSE,"MO","St. Charles","1890 Zumbehl Rd",2022-08-11 20:30:06,2022-08-12
-90.501009,38.68012,FALSE,"MO","Chesterfield","13559 Olive St Rd",2022-08-11 20:30:06,2022-08-12
-90.450104,38.51571,FALSE,"MO","Fenton","501 Old Smizer Mill Rd",2022-08-11 20:30:06,2022-08-12
-90.476976,38.56686,FALSE,"MO","Valley Park","13600 Big Bend Road",2022-08-11 20:30:06,2022-08-12
