"lon","lat","is_broken","state","city","street","last_checked","date"
-95.911601,41.142949,FALSE,"NE","Bellevue","1608 Galvin Rd",2022-08-11 20:37:06,2022-08-12
-95.933799,41.232764,FALSE,"NE","Omaha","2760 S 13th St",2022-08-11 20:37:06,2022-08-12
-95.947463,41.268238,FALSE,"NE","Omaha","2410 Cuming St",2022-08-11 20:37:06,2022-08-12
-95.859662,40.663444,TRUE,"NE","Nebraska City","1512 S 11th",2022-08-11 20:37:06,2022-08-12
-95.958293,41.327098,FALSE,"NE","Omaha","7400 N 30th",2022-08-11 20:37:06,2022-08-12
-95.957368,41.298925,FALSE,"NE","Omaha","4404 N 30th",2022-08-11 20:37:06,2022-08-12
-95.94215,41.158698,FALSE,"NE","Bellevue","10201 S 21st",2022-08-11 20:37:06,2022-08-12
-95.973627,41.258895,FALSE,"NE","Omaha","122 S 40th St",2022-08-11 20:37:06,2022-08-12
-95.975292,41.221444,FALSE,"NE","Omaha","3909 S 42nd",2022-08-11 20:37:06,2022-08-12
-95.967783,41.14007,FALSE,"NE","Bellevue","3609 Summit Plaza Dr",2022-08-11 20:37:06,2022-08-12
-96.023237,41.301258,FALSE,"NE","Omaha","4635 N 72nd St",2022-08-11 20:37:06,2022-08-12
-96.023512,41.277419,FALSE,"NE","Omaha","1925 N 72nd St.",2022-08-11 20:37:06,2022-08-12
-96.033441,41.259262,FALSE,"NE","Omaha","7717 W Dodge",2022-08-11 20:37:06,2022-08-12
-96.053503,41.310584,FALSE,"NE","Omaha","9009 Old Military Ave",2022-08-11 20:37:06,2022-08-12
-96.043793,41.225983,FALSE,"NE","Omaha","3606 S 84th",2022-08-11 20:37:06,2022-08-12
-96.042347,41.179496,FALSE,"NE","La Vista","8003 S 84th St",2022-08-11 20:37:06,2022-08-12
-96.043832,41.138768,FALSE,"NE","Papillion","1410 S Washington",2022-08-11 20:37:06,2022-08-12
-96.081999,41.290081,FALSE,"NE","Omaha","3404 N 108th St",2022-08-11 20:37:06,2022-08-12
-96.080825,41.204943,FALSE,"NE","Omaha","10777 Q St",2022-08-11 20:37:06,2022-08-12
-96.090175,41.263738,FALSE,"NE","Omaha","11330 W Dodge",2022-08-11 20:37:06,2022-08-12
-96.125237,41.543309,FALSE,"NE","Blair","929 Washington",2022-08-11 20:38:06,2022-08-12
-96.119099,41.293284,FALSE,"NE","Omaha","3805 N 132nd St",2022-08-11 20:37:06,2022-08-12
-96.127218,41.205593,FALSE,"NE","Omaha","13708 Q St",2022-08-11 20:38:06,2022-08-12
-96.140533,41.233396,FALSE,"NE","Omaha","14449 W Center Rd",2022-08-11 20:37:06,2022-08-12
-96.137954,41.165124,FALSE,"NE","Omaha","9505 S 144th St",2022-08-11 20:37:06,2022-08-12
-96.177824,41.290684,FALSE,"NE","Omaha","3575 North 168th Court",2022-08-11 20:38:06,2022-08-12
-96.193063,41.205507,FALSE,"NE","Omaha","17805 Welch Plaza",2022-08-11 20:37:06,2022-08-12
-96.201523,41.233467,FALSE,"NE","Omaha","18320 Wright St",2022-08-11 20:37:06,2022-08-12
-96.251781,41.09743,FALSE,"NE","Gretna","14363 South Highway 31",2022-08-11 20:37:06,2022-08-12
-96.412448,42.483547,FALSE,"NE","South Sioux City","600 Dakota Ave",2022-08-11 20:38:06,2022-08-12
-96.491449,41.451117,FALSE,"NE","Fremont","435 E 23rd St",2022-08-11 20:37:06,2022-08-12
-96.53295,40.912935,FALSE,"NE","Waverly","13821 Guildford Street",2022-08-11 20:37:06,2022-08-12
-96.710083,41.851005,FALSE,"NE","West Point","1246 N Lincoln",2022-08-11 20:38:06,2022-08-12
-96.631755,40.813917,FALSE,"NE","Lincoln","6500 O St",2022-08-11 20:37:06,2022-08-12
-96.646757,40.855294,FALSE,"NE","Lincoln","5327 Cornhusker Hwy",2022-08-11 20:38:06,2022-08-12
-96.641951,40.754306,FALSE,"NE","Lincoln","5800 Old Cheney Rd",2022-08-11 20:37:06,2022-08-12
-96.654187,40.818701,FALSE,"NE","Lincoln","547 N 48th St",2022-08-11 20:38:06,2022-08-12
-96.65301,40.785175,FALSE,"NE","Lincoln","2600 S 48th St",2022-08-11 20:37:06,2022-08-12
-96.682659,40.858632,FALSE,"NE","Lincoln","2641 Ticonderoga Drive",2022-08-11 20:37:06,2022-08-12
-96.682831,40.822176,FALSE,"NE","Lincoln","875 N 27th St",2022-08-11 20:37:06,2022-08-12
-96.689849,40.809683,FALSE,"NE","Lincoln","2140 K Street",2022-08-11 20:37:06,2022-08-12
-96.681907,40.740079,FALSE,"NE","Lincoln","2700 Pine Lake Rd",2022-08-11 20:38:06,2022-08-12
-96.706602,40.836838,FALSE,"NE","Lincoln","1028 Saunders",2022-08-11 20:38:06,2022-08-12
-96.705805,40.778437,FALSE,"NE","Lincoln","3330 S 10th St",2022-08-11 20:37:06,2022-08-12
-96.724263,40.813037,FALSE,"NE","Lincoln","345 West O Street",2022-08-11 20:38:06,2022-08-12
-96.73854,40.844109,FALSE,"NE","Lincoln","1141 W Bond",2022-08-11 20:38:06,2022-08-12
-97.004327,42.235088,FALSE,"NE","Wayne","617 Tomar Dr",2022-08-11 20:38:06,2022-08-12
-96.746028,40.278773,FALSE,"NE","Beatrice","1220 N 6th St",2022-08-11 20:38:06,2022-08-12
-97.102277,40.886577,FALSE,"NE","Seward","1397 Progressive Rd",2022-08-11 20:39:06,2022-08-12
-97.416911,42.046324,TRUE,"NE","Norfolk","1205 Riverside Blvd",2022-08-11 20:39:06,2022-08-12
-97.425877,42.02317,FALSE,"NE","Norfolk","813 S 13th St",2022-08-11 20:39:06,2022-08-12
-97.367114,41.439123,FALSE,"NE","Columbus","3210 23rd St",2022-08-11 20:38:06,2022-08-12
-97.17164,40.147578,FALSE,"NE","Fairbury","1429 K St",2022-08-11 20:39:06,2022-08-12
-97.598531,40.824265,FALSE,"NE","York","4012 South Lincoln Ave",2022-08-11 20:39:06,2022-08-12
-97.997316,40.872925,FALSE,"NE","Aurora","1601 Q St",2022-08-11 20:38:06,2022-08-12
-98.352709,40.919268,FALSE,"NE","Grand Island","1317 W 2nd St",2022-08-11 20:38:06,2022-08-12
-98.380106,40.938313,FALSE,"NE","Grand Island","3323 West State Street",2022-08-11 20:38:06,2022-08-12
-98.632822,42.45608,FALSE,"NE","O'Neill","212 E Hwy 20",2022-08-11 20:40:06,2022-08-12
-98.391404,40.602001,FALSE,"NE","Hastings","1510 N Burlington",2022-08-11 20:38:06,2022-08-12
-98.39329,40.568451,FALSE,"NE","Hastings","900 W J St",2022-08-11 20:38:06,2022-08-12
-99.072479,40.699867,FALSE,"NE","Kearney","621 E 25th St",2022-08-11 20:38:06,2022-08-12
-99.081354,40.728865,FALSE,"NE","Kearney","5605 1st Ave",2022-08-11 20:38:06,2022-08-12
-99.083742,40.681692,FALSE,"NE","Kearney","715 2nd Ave",2022-08-11 20:40:06,2022-08-12
-99.385434,40.438117,FALSE,"NE","Holdrege","410 West 4th Avenue",2022-08-11 20:39:06,2022-08-12
-99.629685,41.40208,FALSE,"NE","Broken Bow","123 E South E St",2022-08-11 20:39:06,2022-08-12
-99.739254,40.747391,FALSE,"NE","Lexington","2706 Plum Creek Pkwy",2022-08-11 20:39:06,2022-08-12
-100.166329,40.922882,FALSE,"NE","Gothenburg","320 S Lake Ave",2022-08-11 20:41:06,2022-08-12
-100.550013,42.867333,FALSE,"NE","Valentine","101 W Highway 20",2022-08-11 20:39:06,2022-08-12
-100.724007,41.102867,FALSE,"NE","North Platte","3211 Newberry Rd",2022-08-11 20:41:06,2022-08-12
-100.762423,41.122435,FALSE,"NE","North Platte","1301 S. Dewey St.",2022-08-11 20:41:06,2022-08-12
-100.64424,40.202071,FALSE,"NE","Mccook","501 N Hwy 83",2022-08-11 20:41:06,2022-08-12
-101.71123,41.1163,FALSE,"NE","Ogallala","301 Stagecoach Trail I80 Exit 126",2022-08-11 20:43:06,2022-08-12
-102.893246,42.096339,FALSE,"NE","Alliance","1449 W 3rd Ave",2022-08-11 20:42:06,2022-08-12
-103.016092,42.828802,FALSE,"NE","Chadron","1180 W Hwy 20",2022-08-11 20:42:06,2022-08-12
-102.950368,41.117349,FALSE,"NE","Sidney","2984 Upland Parkway",2022-08-11 20:42:06,2022-08-12
-103.66073,41.827599,FALSE,"NE","Gering","1855 10th St",2022-08-11 20:42:06,2022-08-12
-103.669487,41.874326,TRUE,"NE","Scottsbluff","419 West 27th Street",2022-08-11 20:43:06,2022-08-12
