"lon","lat","is_broken","state","city","street","last_checked","date"
-74.0387,40.726501,FALSE,"NJ","Jersey City","30 Mall Dr W",2022-08-11 20:54:06,2022-08-12
-74.043057,40.719843,FALSE,"NJ","Jersey City","325 Grove St",2022-08-11 20:54:06,2022-08-12
-74.0426,40.729858,FALSE,"NJ","Jersey City","197 12th St",2022-08-11 20:55:06,2022-08-12
-74.030396,40.739906,FALSE,"NJ","Hoboken","234 Washington St",2022-08-11 20:54:06,2022-08-12
-74.053314,40.717419,FALSE,"NJ","Jersey City","428 Grand St",2022-08-11 20:54:06,2022-08-12
-74.05078,40.743783,FALSE,"NJ","Jersey City","260 Central Ave",2022-08-11 20:54:06,2022-08-12
-74.06469,40.731762,FALSE,"NJ","Jersey City","2873 John F Kennedy Blvd",2022-08-11 20:54:06,2022-08-12
-74.044594,40.756408,FALSE,"NJ","Jersey City","737 Secaucus Rd",2022-08-11 20:55:06,2022-08-12
-74.078182,40.711435,FALSE,"NJ","Jersey City","390 Martin Luther King Drive",2022-08-11 20:55:06,2022-08-12
-74.084831,40.722092,FALSE,"NJ","Jersey City","891 Cummunipaw Ave",2022-08-11 20:55:06,2022-08-12
-74.031746,40.77544,FALSE,"NJ","Union City","3215 Kennedy Blvd",2022-08-11 20:55:06,2022-08-12
-74.018883,40.785122,FALSE,"NJ","West New York","5400 Bergenline Ave",2022-08-11 20:55:06,2022-08-12
-74.102867,40.694359,FALSE,"NJ","Bayonne","157 W 63rd St",2022-08-11 20:55:06,2022-08-12
-74.042412,40.792986,FALSE,"NJ","Secaucus","400 Park Place",2022-08-11 20:55:06,2022-08-12
-74.016922,40.806927,FALSE,"NJ","North Bergen","8101 Tonnelle Ave",2022-08-11 20:55:06,2022-08-12
-74.11721,40.665562,FALSE,"NJ","Bayonne","537 Broadway",2022-08-11 20:55:06,2022-08-12
-73.983818,40.813576,FALSE,"NJ","Edgewater","River Road",2022-08-11 20:55:06,2022-08-12
-74.001562,40.818687,FALSE,"NJ","Fairview","289 Bergen Blvd",2022-08-11 20:55:06,2022-08-12
-74.158821,40.72956,FALSE,"NJ","Newark","148 Ferry St",2022-08-11 20:55:06,2022-08-12
-74.164231,40.734896,FALSE,"NJ","Newark","7944 Penn Station",2022-08-11 20:56:06,2022-08-12
-74.173218,40.726685,FALSE,"NJ","Newark","561-575 Mccarter Hwy",2022-08-11 20:56:06,2022-08-12
-74.171631,40.735973,FALSE,"NJ","Newark","772 Broad St",2022-08-11 20:55:06,2022-08-12
