"lon","lat","is_broken","state","city","street","last_checked","date"
-103.167954,34.396084,FALSE,"NM","Clovis","2904 E Mabry Dr",2022-08-11 20:45:06,2022-08-12
-103.195792,34.436363,FALSE,"NM","Clovis","3801 N Prince St",2022-08-11 20:45:06,2022-08-12
-103.20711,34.411652,FALSE,"NM","Clovis","201 W 14th St",2022-08-11 20:45:06,2022-08-12
-104.433594,36.885512,FALSE,"NM","Raton","542 Clayton Rd",2022-08-11 20:45:06,2022-08-12
-103.724535,35.15433,FALSE,"NM","Tucumcari","2608 S 1st St",2022-08-11 20:45:06,2022-08-12
-103.34483,34.181823,FALSE,"NM","Portales","1020 W 1st Ave",2022-08-11 20:45:06,2022-08-12
-103.128083,32.696816,FALSE,"NM","Hobbs","415 South Dal Paso Street",2022-08-11 20:45:06,2022-08-12
-103.140967,32.717702,FALSE,"NM","Hobbs","1709 N Turner",2022-08-11 20:46:06,2022-08-12
-103.161121,32.741341,FALSE,"NM","Hobbs","3726 N Lovington Hwy",2022-08-11 20:45:06,2022-08-12
-103.349051,32.944525,FALSE,"NM","Lovington","410 S Main",2022-08-11 20:45:06,2022-08-12
-104.669558,34.944317,FALSE,"NM","Santa Rosa","1504 Will Rogers Dr",2022-08-11 20:45:06,2022-08-12
-105.573863,36.404656,FALSE,"NM","Taos","200 S Santa Fe Rd",2022-08-11 20:45:06,2022-08-12
-105.223515,35.605677,FALSE,"NM","Las Vegas","1501 7th St",2022-08-11 20:45:06,2022-08-12
-104.523701,33.446761,FALSE,"NM","Roswell","4100 N Main",2022-08-11 20:45:06,2022-08-12
-104.526802,33.449835,FALSE,"NM","Roswell","4500 A No Main",2022-08-11 20:45:06,2022-08-12
-104.52329,33.400426,FALSE,"NM","Roswell","720 N Main",2022-08-11 20:45:06,2022-08-12
-104.523719,33.370233,FALSE,"NM","Roswell","1804 S Main St",2022-08-11 20:45:06,2022-08-12
-106.064005,36.012738,FALSE,"NM","Espanola","1401 N Riverside",2022-08-11 20:46:06,2022-08-12
-106.015095,35.884261,FALSE,"NM","Santa Fe","55 Cities Of Gold Road",2022-08-11 20:45:06,2022-08-12
-104.397921,32.84041,FALSE,"NM","Artesia","210 South First Street",2022-08-11 20:45:06,2022-08-12
-105.953079,35.676692,FALSE,"NM","Santa Fe","1007 So St Francis Drive",2022-08-11 20:45:06,2022-08-12
-105.958806,35.660022,FALSE,"NM","Santa Fe","1621 Pacheco St",2022-08-11 20:46:06,2022-08-12
-104.229415,32.417047,FALSE,"NM","Carlsbad","327 S Canal",2022-08-11 20:46:06,2022-08-12
-106.001049,35.650204,FALSE,"NM","Santa Fe","3299 Cerrillos Rd",2022-08-11 20:45:06,2022-08-12
-104.255339,32.438569,FALSE,"NM","Carlsbad","2311 W Pierce",2022-08-11 20:45:06,2022-08-12
