"lon","lat","is_broken","state","city","street","last_checked","date"
-114.06389,40.739086,FALSE,"NV","West Wendover","1120 W Wendover Blvd",2022-08-11 20:47:06,2022-08-12
-114.960064,41.099118,TRUE,"NV","Wells","157 Highway 93 South",2022-08-11 20:47:06,2022-08-12
-114.869511,39.243296,FALSE,"NV","Ely","1695 Great Basin Blvd",2022-08-11 20:47:06,2022-08-12
-114.064869,36.815205,FALSE,"NV","Mesquite","190 E Pioneer Blvd",2022-08-11 20:47:06,2022-08-12
-114.10726,36.801961,FALSE,"NV","Mesquite","181 S. Falcon Ridge Blvd.",2022-08-11 20:47:06,2022-08-12
-115.748896,40.847283,FALSE,"NV","Elko","1995 Idaho St",2022-08-11 20:47:06,2022-08-12
-115.790445,40.838591,FALSE,"NV","Elko","2540 Moumtain City Hwy",2022-08-11 20:48:06,2022-08-12
-114.442661,36.538711,FALSE,"NV","Overton","310 S Moapa Blvd",2022-08-11 20:47:06,2022-08-12
-114.849128,35.971646,FALSE,"NV","Boulder City","1237 Boulder City Parkway",2022-08-11 20:48:06,2022-08-12
-115.027075,36.196246,FALSE,"NV","Las Vegas","6680 E Lake Mead Blvd",2022-08-11 20:48:06,2022-08-12
-115.061825,36.236803,FALSE,"NV","Las Vegas","4215 Las Vegas Blvd N",2022-08-11 20:48:06,2022-08-12
-114.962863,36.013086,FALSE,"NV","Henderson","701 E Horizon",2022-08-11 20:47:06,2022-08-12
-114.98426,36.042519,FALSE,"NV","Henderson","310 N Boulder Hwy",2022-08-11 20:47:06,2022-08-12
-115.047034,36.159053,FALSE,"NV","Las Vegas","5811 E Charleston Blvd",2022-08-11 20:48:06,2022-08-12
-115.061658,36.174877,FALSE,"NV","Las Vegas","836 N Nellis Blvd",2022-08-11 20:47:06,2022-08-12
-114.571939,35.163685,FALSE,"NV","Laughlin","1900 S Casino Dr",2022-08-11 20:47:06,2022-08-12
-115.013006,36.065356,FALSE,"NV","Henderson","220 W Sunset",2022-08-11 20:48:06,2022-08-12
-115.116646,36.264736,FALSE,"NV","North Las Vegas","5740 Losee Road",2022-08-11 20:48:06,2022-08-12
-115.099487,36.213447,FALSE,"NV","North Las Vegas","3010 Las Vegas Blvd N",2022-08-11 20:47:06,2022-08-12
-115.064796,36.137388,FALSE,"NV","Las Vegas","2886 S Nellis Blvd",2022-08-11 20:47:06,2022-08-12
-115.134532,36.281425,FALSE,"NV","North Las Vegas","6680 North Fifth Street",2022-08-11 20:48:06,2022-08-12
-115.079754,36.159477,FALSE,"NV","Las Vegas","4400 E Charleston",2022-08-11 20:47:06,2022-08-12
-115.033554,36.060284,FALSE,"NV","Henderson","540 Marks St",2022-08-11 20:47:06,2022-08-12
-115.062298,36.112779,FALSE,"NV","Las Vegas","5111 Boulder Hwy",2022-08-11 20:48:06,2022-08-12
-115.06358,36.108554,FALSE,"NV","Las Vegas","5198 Boulder Highway",2022-08-11 20:48:06,2022-08-12
-115.066655,36.113822,FALSE,"NV","Las Vegas","4934 Boulder Hwy",2022-08-11 20:47:06,2022-08-12
-115.097762,36.173775,FALSE,"NV","Las Vegas","3500 E Bonanza",2022-08-11 20:47:06,2022-08-12
-115.046683,36.064001,FALSE,"NV","Henderson","601 N Stephanie",2022-08-11 20:48:06,2022-08-12
-115.128382,36.217298,FALSE,"NV","North Las Vegas","911 East Cheyenne Avenue",2022-08-11 20:48:06,2022-08-12
-115.115205,36.188043,FALSE,"NV","North Las Vegas","2513 E Owens Ave",2022-08-11 20:47:06,2022-08-12
-115.128444,36.195247,FALSE,"NV","North Las Vegas","1003 E Lake Mead Blvd",2022-08-11 20:48:06,2022-08-12
-116.944623,40.637717,FALSE,"NV","Battle Mountain","930 Broyles Rd",2022-08-11 20:48:06,2022-08-12
-115.119297,36.158526,FALSE,"NV","Las Vegas","2050 E Charleston Blvd",2022-08-11 20:47:06,2022-08-12
-115.160798,36.239955,FALSE,"NV","North Las Vegas","1406 W Craig Rd",2022-08-11 20:48:06,2022-08-12
-115.109418,36.130033,FALSE,"NV","Las Vegas","3020 Edesert Inn Rd",2022-08-11 20:48:06,2022-08-12
-115.063052,36.025037,FALSE,"NV","Henderson","65 South Valle Verde Drive",2022-08-11 20:47:06,2022-08-12
-115.179414,36.262304,FALSE,"NV","North Las Vegas","2836 W Ann Rd",2022-08-11 20:47:06,2022-08-12
-115.168776,36.236827,FALSE,"NV","North Las Vegas","1807 W Craig Rd",2022-08-11 20:48:06,2022-08-12
-115.08302,36.053454,FALSE,"NV","Henderson","2217 N Green Valley",2022-08-11 20:48:06,2022-08-12
-115.105034,36.099634,FALSE,"NV","Las Vegas","3229 E Tropicana Ave",2022-08-11 20:47:06,2022-08-12
-115.142879,36.169503,FALSE,"NV","Las Vegas","301 Fremont Street",2022-08-11 20:47:06,2022-08-12
-115.146667,36.172162,FALSE,"NV","Las Vegas","1 S Main Street",2022-08-11 20:48:06,2022-08-12
-115.119567,36.114261,FALSE,"NV","Las Vegas","4105 S Eastern",2022-08-11 20:48:06,2022-08-12
-115.161168,36.195286,FALSE,"NV","Las Vegas","1501 W Lake Mead",2022-08-11 20:47:06,2022-08-12
-115.137393,36.143564,FALSE,"NV","Las Vegas","Sahara   Maryland",2022-08-11 20:47:06,2022-08-12
-115.207138,36.279917,TRUE,"NV","Las Vegas","6595 N Decatur Blvd",2022-08-11 20:48:06,2022-08-12
-115.138063,36.119999,FALSE,"NV","Las Vegas","3815 S Maryland Pky",2022-08-11 20:47:06,2022-08-12
-115.115373,36.071926,FALSE,"NV","Las Vegas","2550 E Sunset Rd",2022-08-11 20:48:06,2022-08-12
-115.122299,36.080516,FALSE,"NV","Las Vegas","6005 S Eastern Ave",2022-08-11 20:48:06,2022-08-12
-115.156379,36.147618,FALSE,"NV","Las Vegas","2000 S Las Vegas Blvd",2022-08-11 20:47:06,2022-08-12
-115.155041,36.143994,FALSE,"NV","Las Vegas","2248 Paradise Rd",2022-08-11 20:47:06,2022-08-12
-115.162624,36.158525,TRUE,"NV","Las Vegas","1601 W Charleston Blvd",2022-08-11 20:48:06,2022-08-12
-115.137484,36.101743,TRUE,"NV","Las Vegas","4855 S Maryland Pky",2022-08-11 20:48:06,2022-08-12
-115.208019,36.247126,FALSE,"NV","Las Vegas","4804 W Lone Mountain",2022-08-11 20:47:06,2022-08-12
-115.179801,36.180822,FALSE,"NV","Las Vegas","2851 W Washington",2022-08-11 20:47:06,2022-08-12
-115.154446,36.122028,FALSE,"NV","Las Vegas","3700 S Paradise Rd",2022-08-11 20:48:06,2022-08-12
-115.117908,36.041879,FALSE,"NV","Las Vegas","8120 S Eastern",2022-08-11 20:48:06,2022-08-12
-115.1633,36.135565,FALSE,"NV","Las Vegas","2896 S Las Vegas Blvd",2022-08-11 20:47:06,2022-08-12
-115.164525,36.137151,FALSE,"NV","Las Vegas","2880 S Las Vegas Blvd",2022-08-11 20:47:06,2022-08-12
-115.177237,36.14478,FALSE,"NV","Las Vegas","2650 W Sahara",2022-08-11 20:47:06,2022-08-12
-115.212438,36.216749,FALSE,"NV","Las Vegas","3175 N Rancho",2022-08-11 20:47:06,2022-08-12
-115.112948,36.006667,FALSE,"NV","Henderson","10020 S Eastern",2022-08-11 20:48:06,2022-08-12
-115.124112,36.023,FALSE,"NV","Las Vegas","2310 E Serene",2022-08-11 20:48:06,2022-08-12
-115.196406,36.1725,FALSE,"NV","Las Vegas","4300 Meadows Ln",2022-08-11 20:47:06,2022-08-12
-115.171921,36.120085,FALSE,"NV","Las Vegas","3475 S Las Vegas Blvd",2022-08-11 20:47:06,2022-08-12
-115.172174,36.108489,FALSE,"NV","Las Vegas","3717 S Las Vegas Blvd",2022-08-11 20:48:06,2022-08-12
-115.249932,36.262598,FALSE,"NV","Las Vegas","7171 W Ann Rd",2022-08-11 20:48:06,2022-08-12
-115.205498,36.16676,FALSE,"NV","Las Vegas","4774 Alta Dr",2022-08-11 20:47:06,2022-08-12
-115.202191,36.156329,FALSE,"NV","Las Vegas","4505 W Charleston",2022-08-11 20:47:06,2022-08-12
-115.135282,36.012769,FALSE,"NV","Las Vegas","1343 Silverado Ranch",2022-08-11 20:48:06,2022-08-12
-115.172226,36.090052,FALSE,"NV","Las Vegas","3999 S Las Vegas Blvd",2022-08-11 20:48:06,2022-08-12
-115.200181,36.143978,FALSE,"NV","Las Vegas","Sahara   Arville",2022-08-11 20:47:06,2022-08-12
-115.250261,36.241028,FALSE,"NV","Las Vegas","7150 W Craig Rd",2022-08-11 20:47:06,2022-08-12
-115.186314,36.100511,FALSE,"NV","Las Vegas","3451 W Tropicana",2022-08-11 20:48:06,2022-08-12
-115.281428,36.301934,FALSE,"NV","Las Vegas","8480 Farm Rd",2022-08-11 20:48:06,2022-08-12
-115.223553,36.174937,FALSE,"NV","Las Vegas","108 N Jones Blvd",2022-08-11 20:47:06,2022-08-12
-115.270582,36.272042,FALSE,"NV","Las Vegas","8060 W Tropical Pkwy",2022-08-11 20:47:06,2022-08-12
-115.171403,36.056504,FALSE,"NV","Las Vegas","7310 S Las Vegas Blvd",2022-08-11 20:48:06,2022-08-12
-115.240731,36.196358,FALSE,"NV","Las Vegas","2020 N Rainbow",2022-08-11 20:48:06,2022-08-12
