"lon","lat","is_broken","state","city","street","last_checked","date"
-80.539175,40.831962,FALSE,"OH","East Palestine","60 S Market St",2022-08-11 21:04:06,2022-08-12
-80.569229,41.178271,FALSE,"OH","Hubbard","2400 N Main",2022-08-11 21:05:06,2022-08-12
-80.577168,40.673792,FALSE,"OH","East Liverpool","15573 State Hwy 170",2022-08-11 21:04:06,2022-08-12
-80.590319,41.090013,FALSE,"OH","Youngstown","691 Mccartney Rd",2022-08-11 21:04:06,2022-08-12
-80.565449,41.606837,FALSE,"OH","Andover","350 E Main Po Box 1406",2022-08-11 21:05:06,2022-08-12
-80.631924,41.024658,FALSE,"OH","Youngstown","1180 Boardman Poland Road",2022-08-11 21:04:06,2022-08-12
-80.635156,40.988419,FALSE,"OH","Boardman","900 Western Reserve Rd",2022-08-11 21:04:06,2022-08-12
-80.614477,40.450998,FALSE,"OH","Toronto","1850 Franklin St",2022-08-11 21:05:06,2022-08-12
-80.643928,41.060423,FALSE,"OH","Youngstown","601 Midlothian Rd",2022-08-11 21:06:06,2022-08-12
-80.641264,40.613582,FALSE,"OH","Wellsville","100 Lisbon St",2022-08-11 21:05:06,2022-08-12
-80.651647,41.109114,FALSE,"OH","Youngstown","570 5th Ave",2022-08-11 21:05:06,2022-08-12
-80.660503,40.959019,FALSE,"OH","North Lima","Sr 7 & Oh Tpke",2022-08-11 21:04:06,2022-08-12
-80.664116,41.024967,FALSE,"OH","Boardman","22 Boardman Canfield Road",2022-08-11 21:06:06,2022-08-12
-80.665927,41.148888,FALSE,"OH","Youngstown","3630 Belmont Rd",2022-08-11 21:05:06,2022-08-12
-80.637699,40.36928,FALSE,"OH","Steubenville","2106 Sunset Boulevard",2022-08-11 21:05:06,2022-08-12
-80.694533,40.899695,FALSE,"OH","Columbiana","151 Rt 14",2022-08-11 21:05:06,2022-08-12
-80.557838,41.944279,FALSE,"OH","Conneaut","312 State St",2022-08-11 21:06:06,2022-08-12
-80.570626,41.913754,FALSE,"OH","Conneaut","2 Loves Drive",2022-08-11 21:05:06,2022-08-12
-80.686774,40.370811,FALSE,"OH","Wintersville","140 Main Street",2022-08-11 21:05:06,2022-08-12
-80.718408,41.181788,FALSE,"OH","Niles","2796 Robbins Ave",2022-08-11 21:05:06,2022-08-12
-80.72228,41.142587,FALSE,"OH","Girard","2724 Salt Springs Road",2022-08-11 21:05:06,2022-08-12
-80.731905,41.083051,FALSE,"OH","Austintown Township","1709 S Raccoon Rd",2022-08-11 21:05:06,2022-08-12
-80.743486,41.025315,FALSE,"OH","Canfield","586 E Main St",2022-08-11 21:06:06,2022-08-12
-80.741024,41.214338,FALSE,"OH","Warren","2110 Niles Courtland Rd",2022-08-11 21:05:06,2022-08-12
-80.732723,41.317119,FALSE,"OH","Cortland","S R 5 & S R 46",2022-08-11 21:05:06,2022-08-12
-80.764939,41.099909,FALSE,"OH","Austintown","5526 Mahoning Ave",2022-08-11 21:05:06,2022-08-12
-80.765622,41.186005,FALSE,"OH","Niles","428 N Main St",2022-08-11 21:05:06,2022-08-12
-80.769325,41.128617,FALSE,"OH","Austintown","1150 N Canfield Niles Rd",2022-08-11 21:06:06,2022-08-12
-80.775049,40.78785,FALSE,"OH","Lisbon","7800 Sr 45",2022-08-11 21:05:06,2022-08-12
-80.766122,41.23626,TRUE,"OH","Warren","162 North Rd",2022-08-11 21:05:06,2022-08-12
-80.774767,41.27685,FALSE,"OH","Cortland","2171 Millennium Blvd",2022-08-11 21:05:06,2022-08-12
-80.722706,40.096201,FALSE,"OH","Martins Ferry","300 Hanover St",2022-08-11 21:05:06,2022-08-12
-80.810125,41.23474,FALSE,"OH","Warren","595 South St",2022-08-11 21:05:06,2022-08-12
-80.833841,40.901315,FALSE,"OH","Salem","1892 E State St",2022-08-11 21:05:06,2022-08-12
-80.745142,40.011572,FALSE,"OH","Bellaire","300 28th St",2022-08-11 21:06:06,2022-08-12
-80.769072,41.740675,FALSE,"OH","Jefferson","104 N Chestnut Street",2022-08-11 21:05:06,2022-08-12
-80.842896,41.277012,FALSE,"OH","Warren","4291 Mahoning Ave",2022-08-11 21:05:06,2022-08-12
-80.855424,41.251414,FALSE,"OH","Warren","2487 Parkman Rd",2022-08-11 21:06:06,2022-08-12
-80.763995,41.875388,FALSE,"OH","Ashtabula","2424 E Prospect",2022-08-11 21:05:06,2022-08-12
-80.805092,41.891828,FALSE,"OH","Ashtabula","918 Lake Ave",2022-08-11 21:05:06,2022-08-12
-80.855533,41.784728,FALSE,"OH","Austinburg","2849 Gh Drive",2022-08-11 21:05:06,2022-08-12
-80.865244,40.07015,FALSE,"OH","Saint Clairsville","I 70 & Ohio Valley Mall",2022-08-11 21:05:06,2022-08-12
-80.977819,41.189202,FALSE,"OH","Newton Falls","20 N Canal St",2022-08-11 21:05:06,2022-08-12
-80.947365,41.772713,FALSE,"OH","Geneva","1807 S Broadway",2022-08-11 21:05:06,2022-08-12
-81.000921,40.283763,FALSE,"OH","Cadiz","663 Lincoln Ave",2022-08-11 21:05:06,2022-08-12
-81.095699,40.901246,FALSE,"OH","Alliance","721 E State St",2022-08-11 21:06:06,2022-08-12
-81.097477,40.731873,FALSE,"OH","Minerva","601 East Lincoln Way",2022-08-11 21:05:06,2022-08-12
-81.091522,40.582409,FALSE,"OH","Carrollton","718 Canton Rd Nw",2022-08-11 21:05:06,2022-08-12
-81.100402,41.286587,FALSE,"OH","Garrettsville","8027 State St",2022-08-11 21:06:06,2022-08-12
-81.086067,41.46233,FALSE,"OH","Middlefield","15551 Kinsman Rd",2022-08-11 21:05:06,2022-08-12
-81.046781,41.761819,FALSE,"OH","Madison","559 River St",2022-08-11 21:05:06,2022-08-12
-81.051178,41.802017,FALSE,"OH","Madison","6626 N Ridge Rd",2022-08-11 21:05:06,2022-08-12
-81.05422,40.061408,TRUE,"OH","Belmont","66640 Bel-Mor Road",2022-08-11 21:05:06,2022-08-12
-81.155091,40.901441,FALSE,"OH","Alliance","2496 W State St",2022-08-11 21:05:06,2022-08-12
-81.22476,41.281014,FALSE,"OH","Mantua","10637 Main St",2022-08-11 21:05:06,2022-08-12
-81.241642,41.110802,FALSE,"OH","Ravenna","4190 Lynn Rd",2022-08-11 21:05:06,2022-08-12
-81.247993,41.158241,FALSE,"OH","Ravenna","418 W Main St",2022-08-11 21:05:06,2022-08-12
-81.260039,40.838492,FALSE,"OH","Louisville","219 N Chapel St",2022-08-11 21:06:06,2022-08-12
-81.211807,41.581486,FALSE,"OH","Chardon","430 Water St",2022-08-11 21:05:06,2022-08-12
-81.15956,39.990011,FALSE,"OH","Barnesville","825 E Main St",2022-08-11 21:05:06,2022-08-12
-81.260497,40.675718,FALSE,"OH","Waynesburg","8720 Waynesburg Dr Se",2022-08-11 21:05:06,2022-08-12
-81.115101,39.76465,FALSE,"OH","Woodsfield","145 N Main St",2022-08-11 21:05:06,2022-08-12
-81.245202,41.665637,FALSE,"OH","Concord Township","7575 Auburn Rd",2022-08-11 21:06:06,2022-08-12
-81.248024,41.724663,FALSE,"OH","Painesville","95 Richmond St",2022-08-11 21:05:06,2022-08-12
-81.320638,40.789657,FALSE,"OH","Canton Township","4025 Lincoln St",2022-08-11 21:05:06,2022-08-12
-81.326638,40.837894,FALSE,"OH","Canton","3700 Harmont Ave",2022-08-11 21:06:06,2022-08-12
-81.329029,40.818162,FALSE,"OH","Canton","3251 Mahoning Rd Ne",2022-08-11 21:05:06,2022-08-12
-81.345184,40.967297,FALSE,"OH","Hartville","868 W Maple St",2022-08-11 21:05:06,2022-08-12
-81.278571,41.699275,FALSE,"OH","Painesville","1582 Mentor Ave",2022-08-11 21:06:06,2022-08-12
-81.347732,41.104838,FALSE,"OH","Kent","4223 State Route 43",2022-08-11 21:05:06,2022-08-12
-81.358213,41.142417,FALSE,"OH","Kent","1280 S Water St",2022-08-11 21:06:06,2022-08-12
-81.340103,41.389851,FALSE,"OH","Bainbridge","17638 Chillicothe Road",2022-08-11 21:05:06,2022-08-12
-81.36319,40.873172,FALSE,"OH","North Canton","6302 Market Avenue North",2022-08-11 21:05:06,2022-08-12
-81.354015,41.242161,FALSE,"OH","Streetsboro","9439 Sr 14",2022-08-11 21:05:06,2022-08-12
-81.35231,41.316841,FALSE,"OH","Aurora","199 W Garfield",2022-08-11 21:06:06,2022-08-12
-81.300349,41.714342,FALSE,"OH","Mentor","5745 Heisley Road",2022-08-11 21:05:06,2022-08-12
-81.372263,40.798319,FALSE,"OH","Canton","319 Tuscarawas E",2022-08-11 21:05:06,2022-08-12
-81.348817,40.410881,FALSE,"OH","Uhrichsville","101 Mccauley Dr",2022-08-11 21:06:06,2022-08-12
-81.344467,41.521633,FALSE,"OH","Chesterland","8329 Mayfield Rd",2022-08-11 21:05:06,2022-08-12
-81.381656,40.7637,FALSE,"OH","Canton Township","3109 S Cleveland Ave",2022-08-11 21:05:06,2022-08-12
-81.326141,41.673321,FALSE,"OH","Mentor","8775 Mentor Ave",2022-08-11 21:05:06,2022-08-12
-81.388836,40.833107,FALSE,"OH","Canton","3101 Cleveland Ave",2022-08-11 21:05:06,2022-08-12
-81.393423,40.799557,FALSE,"OH","Canton","112 Dueber St",2022-08-11 21:05:06,2022-08-12
-81.395036,41.050612,FALSE,"OH","Mogadore","3868 Mogadore Rd",2022-08-11 21:05:06,2022-08-12
-81.385837,41.3527,FALSE,"OH","Aurora","7195 Aurora Rd",2022-08-11 21:05:06,2022-08-12
-81.406796,40.891072,FALSE,"OH","North Canton","1407 N Main St",2022-08-11 21:06:06,2022-08-12
-81.403398,40.751398,FALSE,"OH","Canton","2331 Faircrest St Sw",2022-08-11 21:05:06,2022-08-12
-81.405046,41.155919,FALSE,"OH","Stow","4346 Kent Road",2022-08-11 21:05:06,2022-08-12
-81.418438,40.781363,FALSE,"OH","Canton Township","3713 17th St Sw",2022-08-11 21:05:06,2022-08-12
-81.424432,40.8373,FALSE,"OH","North Canton","3439 Whipple Avenue Nw",2022-08-11 21:05:06,2022-08-12
-81.360718,41.705883,FALSE,"OH","Mentor","6083 Andrews Rd",2022-08-11 21:05:06,2022-08-12
-81.428758,41.031895,FALSE,"OH","Akron","1230 Canton Rd",2022-08-11 21:06:06,2022-08-12
-81.375899,41.642408,FALSE,"OH","Mentor","8380 Broadmoor Road",2022-08-11 21:05:06,2022-08-12
-81.434887,40.880226,TRUE,"OH","North Canton","6855 Sunset Strip Ave Nw",2022-08-11 21:05:06,2022-08-12
-81.435107,40.856819,FALSE,"OH","Canton","4643 Belden Village Rd Nw",2022-08-11 21:05:06,2022-08-12
-81.435735,40.795463,FALSE,"OH","Canton","4757 West Tuscarawas Ave",2022-08-11 21:06:06,2022-08-12
-81.378952,41.661076,FALSE,"OH","Mentor","7700 Reynolds Rd",2022-08-11 21:05:06,2022-08-12
-81.439106,41.100604,FALSE,"OH","Tallmadge","23 Southeast Ave",2022-08-11 21:05:06,2022-08-12
-81.43968,41.139664,FALSE,"OH","Munroe Falls","12 Munroe Falls Ave",2022-08-11 21:05:06,2022-08-12
-81.441079,41.202162,FALSE,"OH","Stow","5020 Darrow Rd",2022-08-11 21:06:06,2022-08-12
-81.444161,40.641419,FALSE,"OH","Bolivar","11123 State Rte 212 Ne",2022-08-11 21:05:06,2022-08-12
-81.454996,41.061232,FALSE,"OH","Akron","2021 E Market St",2022-08-11 21:05:06,2022-08-12
-81.449036,41.239747,FALSE,"OH","Hudson","134 West Steetsboro Rd",2022-08-11 21:06:06,2022-08-12
-81.447557,41.311866,FALSE,"OH","Twinsburg","2533 Aurora Rd",2022-08-11 21:05:06,2022-08-12
-81.466023,40.961568,FALSE,"OH","Uniontown","3672 Massillon Rd",2022-08-11 21:05:06,2022-08-12
-81.46595,41.102449,FALSE,"OH","Akron","1349 E Tallmadge Ave",2022-08-11 21:06:06,2022-08-12
-81.452278,40.509836,FALSE,"OH","New Philadelphia","1446 4th St Nw",2022-08-11 21:05:06,2022-08-12
-81.477213,41.118591,FALSE,"OH","Cuyahoga Falls","482 Howe Ave",2022-08-11 21:05:06,2022-08-12
-81.475782,41.162668,FALSE,"OH","Cuyahoga Falls","1050 Graham Rd",2022-08-11 21:05:06,2022-08-12
-81.428098,41.627179,FALSE,"OH","Willoughby","36390 Euclid Ave",2022-08-11 21:06:06,2022-08-12
-81.484587,40.861554,FALSE,"OH","Massillon","5554 Wales Ave Nw",2022-08-11 21:05:06,2022-08-12
-81.427479,41.677237,FALSE,"OH","Eastlake","36141 Lakeshore Blvd",2022-08-11 21:05:06,2022-08-12
-81.483864,41.180749,FALSE,"OH","Stow","712 Steels Corners Rd",2022-08-11 21:05:06,2022-08-12
-81.488641,40.798234,FALSE,"OH","Massillon","2496 Lincoln Way E",2022-08-11 21:06:06,2022-08-12
-81.492451,40.983677,FALSE,"OH","Akron","3225 Arlington Rd",2022-08-11 21:05:06,2022-08-12
-81.455373,41.520552,FALSE,"OH","Mayfield Heights","6225 Mayfield Rd",2022-08-11 21:05:06,2022-08-12
-81.492869,41.029162,FALSE,"OH","Akron","946 E Waterloo Rd",2022-08-11 21:05:06,2022-08-12
-81.499643,41.077661,FALSE,"OH","Akron","578 E Market St",2022-08-11 21:06:06,2022-08-12
-81.507729,41.131108,FALSE,"OH","Cuyahoga Falls","1787 State Rd",2022-08-11 21:05:06,2022-08-12
-81.491698,40.528122,FALSE,"OH","Dover","3384 Davis Rd",2022-08-11 21:05:06,2022-08-12
-81.484391,41.461957,FALSE,"OH","Woodmere","27570 Chagrin Blvd",2022-08-11 21:06:06,2022-08-12
-81.514207,41.07304,FALSE,"OH","Akron","246 East Exchange",2022-08-11 21:05:06,2022-08-12
