"lon","lat","is_broken","state","city","street","last_checked","date"
-71.820557,41.370323,FALSE,"RI","Westerly","135 Granite St",2022-08-11 20:59:06,2022-08-12
-71.688253,41.512337,FALSE,"RI","Wyoming","14 Kingston Road",2022-08-11 21:00:06,2022-08-12
-71.483158,41.442477,FALSE,"RI","Wakefield","149 Old Tower Hill Rd",2022-08-11 21:00:06,2022-08-12
-71.579955,41.678711,FALSE,"RI","Coventry","1100 Tiogue Ave",2022-08-11 21:00:06,2022-08-12
-71.544903,41.660936,FALSE,"RI","East Greenwich","2500 New London Turnpike",2022-08-11 21:00:06,2022-08-12
-71.495662,41.662494,FALSE,"RI","East Greenwich","1000 Division St",2022-08-11 21:00:06,2022-08-12
-71.487599,41.714851,FALSE,"RI","Warwick","876 Bald Hill Rd",2022-08-11 21:00:06,2022-08-12
-71.500258,41.789094,TRUE,"RI","Cranston","1820 Plainfield Pike",2022-08-11 21:00:06,2022-08-12
-71.495198,41.814521,FALSE,"RI","Johnston","1377 Atwood Ave",2022-08-11 21:00:06,2022-08-12
-71.530444,41.871108,FALSE,"RI","Greenville","445 Putnam Pike",2022-08-11 21:00:06,2022-08-12
-71.453279,41.771831,FALSE,"RI","Cranston","1099 Reservior Ave",2022-08-11 21:00:06,2022-08-12
-71.291216,41.519968,FALSE,"RI","Middletown","288 E Main Rd",2022-08-11 21:00:06,2022-08-12
-71.398408,41.712439,FALSE,"RI","Warwick","2390 Warwick Ave",2022-08-11 21:00:06,2022-08-12
-71.29118,41.537915,FALSE,"RI","Middletown","1425 W Main Rd",2022-08-11 21:00:06,2022-08-12
-71.413081,41.754149,FALSE,"RI","Warwick","770 Post Rd",2022-08-11 21:00:06,2022-08-12
-71.445877,41.801822,FALSE,"RI","Cranston","923 Cranston St",2022-08-11 21:00:06,2022-08-12
-71.46939,41.85981,FALSE,"RI","North Providence","1920 Mineral Spring Ave",2022-08-11 21:00:06,2022-08-12
-71.402529,41.786434,FALSE,"RI","Providence","1481 Broad St",2022-08-11 21:00:06,2022-08-12
-71.421977,41.813784,FALSE,"RI","Providence","343 Broad St",2022-08-11 21:00:06,2022-08-12
-71.428567,41.853289,FALSE,"RI","Providence","736 Branch Ave",2022-08-11 21:00:06,2022-08-12
-71.408785,41.838174,FALSE,"RI","Providence","649 N Main St",2022-08-11 21:00:06,2022-08-12
-71.474874,41.936007,FALSE,"RI","Lincoln","622 Geroge Washington Hwy",2022-08-11 21:00:06,2022-08-12
-71.514483,41.982774,FALSE,"RI","North Smithfield","12 Eddie Dowling Hwy",2022-08-11 21:00:06,2022-08-12
-71.399381,41.874516,FALSE,"RI","Pawtucket","255 Mineral Springs Ave",2022-08-11 21:00:06,2022-08-12
-71.352726,41.821608,FALSE,"RI","East Providence","721 Taunton Ave",2022-08-11 21:00:06,2022-08-12
-71.436095,41.943536,FALSE,"RI","Cumberland","1754 Mendon Rd",2022-08-11 21:00:06,2022-08-12
-71.267871,41.716715,FALSE,"RI","Warren","636 Metacom Ave",2022-08-11 21:00:06,2022-08-12
-71.404511,41.913793,FALSE,"RI","Cumberland","100 Mendon Rd",2022-08-11 21:00:06,2022-08-12
-71.35398,41.856954,FALSE,"RI","East Providence","72 Newport Ave",2022-08-11 21:00:06,2022-08-12
-71.364674,41.880192,FALSE,"RI","Pawtucket","285 Armistice Blvd",2022-08-11 21:00:06,2022-08-12
-71.471365,42.015464,FALSE,"RI","Woonsocket","1900 Diamond Hill Rd",2022-08-11 21:00:06,2022-08-12
