"lon","lat","is_broken","state","city","street","last_checked","date"
-96.496951,42.525474,FALSE,"SD","North Sioux City","100 N Derby Ln",2022-08-11 20:37:06,2022-08-12
-96.571382,43.60519,FALSE,"SD","Brandon","922 Splitrock Blvd",2022-08-11 20:37:06,2022-08-12
-96.687043,43.528929,FALSE,"SD","Sioux Falls","3101 E 26th St",2022-08-11 20:37:06,2022-08-12
-96.71232,43.600945,FALSE,"SD","Sioux Falls","4903 N Cliff Ave",2022-08-11 20:38:06,2022-08-12
-96.714683,43.546382,FALSE,"SD","Sioux Falls","917 E 10th Street",2022-08-11 20:37:06,2022-08-12
-96.73074,43.515547,FALSE,"SD","Sioux Falls","3200 S Minnesota Ave",2022-08-11 20:37:06,2022-08-12
-96.759311,43.544734,FALSE,"SD","Sioux Falls","2416 W 12th St",2022-08-11 20:37:06,2022-08-12
-96.771771,43.498415,FALSE,"SD","Sioux Falls","5201 S Louise Ave",2022-08-11 20:38:06,2022-08-12
-96.774868,43.515245,FALSE,"SD","Sioux Falls","4000 W 41st St",2022-08-11 20:37:06,2022-08-12
-96.777973,44.311841,FALSE,"SD","Brookings","1605 6th St",2022-08-11 20:37:06,2022-08-12
-96.929699,42.787304,FALSE,"SD","Vermillion","702 N Dakota St",2022-08-11 20:38:06,2022-08-12
-97.117808,44.0074,FALSE,"SD","Madison","320 2nd St Nw",2022-08-11 20:39:06,2022-08-12
-97.059072,44.891328,FALSE,"SD","Watertown","820 35th Street Cir",2022-08-11 20:39:06,2022-08-12
-97.111078,44.890445,TRUE,"SD","Watertown","407 9th Avenue South",2022-08-11 20:38:06,2022-08-12
-97.398286,42.894701,FALSE,"SD","Yankton","2301 Broadway Ave",2022-08-11 20:39:06,2022-08-12
-98.016173,43.695134,FALSE,"SD","Mitchell","1521 S Burr",2022-08-11 20:38:06,2022-08-12
-98.024923,43.726072,FALSE,"SD","Mitchell","1704 N Main St",2022-08-11 20:40:06,2022-08-12
-98.214589,44.344513,FALSE,"SD","Huron","1865 Dakota Ave S",2022-08-11 20:38:06,2022-08-12
-98.463756,45.45978,FALSE,"SD","Aberdeen","1615 6th Ave Se",2022-08-11 20:38:06,2022-08-12
-98.491434,45.469987,FALSE,"SD","Aberdeen","403 N 2nd St",2022-08-11 20:38:06,2022-08-12
-99.331829,43.809138,FALSE,"SD","Chamberlain","200 S Main",2022-08-11 20:38:06,2022-08-12
-99.849949,43.377045,FALSE,"SD","Winner","526 E 2nd St",2022-08-11 20:39:06,2022-08-12
-100.361031,44.371435,FALSE,"SD","Pierre","610 W Sioux Ave",2022-08-11 20:39:06,2022-08-12
-103.150143,44.095735,FALSE,"SD","Rapid City","3919 Cheyenne Blvd",2022-08-11 20:42:06,2022-08-12
-103.197848,44.087953,FALSE,"SD","Rapid City","804 E North St",2022-08-11 20:42:06,2022-08-12
-103.231191,44.061666,FALSE,"SD","Rapid City","720 Cleveland St",2022-08-11 20:43:06,2022-08-12
-103.256705,44.081506,FALSE,"SD","Rapid City","2223 W Main St",2022-08-11 20:43:06,2022-08-12
-103.528731,44.419555,FALSE,"SD","Sturgis","2351 Lazelle St",2022-08-11 20:42:06,2022-08-12
-103.860557,44.500866,FALSE,"SD","Spearfish","131 Ryan Rd",2022-08-11 20:43:06,2022-08-12
