"lon","lat","is_broken","state","city","street","last_checked","date"
-81.8008,36.464909,FALSE,"TN","Mountain City","955 Shady St",2022-08-11 21:09:06,2022-08-12
-82.193573,36.573059,FALSE,"TN","Bristol","1102 Volunteer Pky",2022-08-11 21:09:06,2022-08-12
-82.214112,36.594896,FALSE,"TN","Bristol","2633 W State",2022-08-11 21:09:06,2022-08-12
-82.261688,36.590645,FALSE,"TN","Bristol","325 Pinnacle Parkway",2022-08-11 21:09:06,2022-08-12
-82.312027,36.523595,FALSE,"TN","Blountville","2260 Hwy 394",2022-08-11 21:09:06,2022-08-12
-82.221734,36.350914,FALSE,"TN","Elizabethton","215 Broad St",2022-08-11 21:09:06,2022-08-12
-82.389552,36.534171,FALSE,"TN","Blountville","214 Carolina Pottery Dr",2022-08-11 21:10:06,2022-08-12
-82.174057,36.289387,FALSE,"TN","Hampton","110 1st Ave",2022-08-11 21:09:06,2022-08-12
-82.316175,36.425601,FALSE,"TN","Piney Flats","5955 Highway 11 E",2022-08-11 21:10:06,2022-08-12
-82.519492,36.548642,FALSE,"TN","Kingsport","1620 E Stone Dr",2022-08-11 21:10:06,2022-08-12
-82.520807,36.525304,FALSE,"TN","Kingsport","2330 Fort Henry Dr",2022-08-11 21:10:06,2022-08-12
-82.567509,36.579128,FALSE,"TN","Kingsport","1501 Lynn Garden Rd",2022-08-11 21:10:06,2022-08-12
-82.345583,36.3196,FALSE,"TN","Johnson City","417 E Main St",2022-08-11 21:10:06,2022-08-12
-82.411223,36.388973,FALSE,"TN","Johnson City","4525 Roan Street North",2022-08-11 21:10:06,2022-08-12
-82.496518,36.481284,FALSE,"TN","Kingsport","4317 Fort Henry Dr",2022-08-11 21:10:06,2022-08-12
-82.375619,36.340534,FALSE,"TN","Johnson City","2101 N Roan St",2022-08-11 21:10:06,2022-08-12
-82.394308,36.358561,FALSE,"TN","Johnson City","3100 Brownsmill Rd",2022-08-11 21:10:06,2022-08-12
-82.364317,36.307756,FALSE,"TN","Johnson City","826 W Walnut St",2022-08-11 21:10:06,2022-08-12
-82.553954,36.505028,FALSE,"TN","Kingsport","1331 John B Dennis Highway",2022-08-11 21:10:06,2022-08-12
-82.384407,36.312794,FALSE,"TN","Johnson City","1710 W Market St",2022-08-11 21:10:06,2022-08-12
-82.475265,36.408376,FALSE,"TN","Johnson City","5016 Bobby Hicks Hwy",2022-08-11 21:10:06,2022-08-12
-82.624952,36.552468,FALSE,"TN","Kingsport","4300 W Stone Dr",2022-08-11 21:10:06,2022-08-12
-82.467166,36.300734,FALSE,"TN","Jonesborough","506 Boones Creek Rd",2022-08-11 21:10:06,2022-08-12
-82.686781,36.527173,FALSE,"TN","Church Hill","201 Silver Lake Rd",2022-08-11 21:10:06,2022-08-12
-82.417033,36.150392,FALSE,"TN","Erwin","529 Jonesborough Rd",2022-08-11 20:19:06,2022-08-12
-82.774397,36.179577,FALSE,"TN","Greeneville","2760 E Andrew Johnson Hwy",2022-08-11 21:10:06,2022-08-12
-83.015377,36.397724,FALSE,"TN","Rogersville","4306 Hwy 66 S",2022-08-11 21:11:06,2022-08-12
-82.819276,36.170472,FALSE,"TN","Greeneville","521 Tusculum Blvd",2022-08-11 21:11:06,2022-08-12
-82.847765,36.147469,FALSE,"TN","Greeneville","504 Asheville Hwy",2022-08-11 21:11:06,2022-08-12
-83.045,36.224534,FALSE,"TN","Bulls Gap","35 Speedway Ln",2022-08-11 21:11:06,2022-08-12
-83.260063,36.222465,FALSE,"TN","Morristown","2505 E Morris Blvd",2022-08-11 21:11:06,2022-08-12
